material or substance name,Validation,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_SPS,RDKit2D_BalabanJ,RDKit2D_Chi0n,RDKit2D_Kappa1,RDKit2D_Kappa3,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,PubChemFP_fp_0,PubChemFP_fp_9,Mordred2D_nAtom,Mordred2D_ATS0se,Mordred2D_ATS2se,Mordred2D_ATS6se,Mordred2D_ATS0are,Mordred2D_ATS5p,Mordred2D_ATS6p,Mordred2D_ATS0i,Mordred2D_ATS2i,Mordred2D_ATS6i,Mordred2D_AATS0v,Mordred2D_ATSC1dv,Mordred2D_ATSC2dv,Mordred2D_ATSC0v,Mordred2D_ATSC1v,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC0i,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTse-1l,Mordred2D_BCUTare-1l,Mordred2D_BalabanJ,Mordred2D_SpMAD_DzZ,Mordred2D_SpAbs_Dzse,Mordred2D_SpMAD_Dzse,Mordred2D_SpMAD_Dzpe,Mordred2D_SpMAD_Dzare,Mordred2D_SpAbs_Dzi,Mordred2D_SpDiam_Dzi,Mordred2D_SpMAD_Dzi,Mordred2D_Sse,Mordred2D_Spe,Mordred2D_Sare,Mordred2D_Sp,Mordred2D_Si,Mordred2D_SsCH3,Mordred2D_ETA_dEpsilon_D,Mordred2D_fMF,Mordred2D_CIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID_h,Mordred2D_MID_C,Mordred2D_AMID_O,Mordred2D_apol,Mordred2D_bpol,Mordred2D_TopoPSA
METHANE,0,0.0,0.35978493788397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.6361,4,0,5,34.414372,40.310784,0.0,25.61,0.0,0.0,866.464964186996,1109.5059121454938,0.0,109.57037589461012,0.0,0.0,180.10193075137815,-144.08154460110245,-0.0784000000000001,-0.0575999999999999,-0.6441115423033604,4.373530150759195,0.874706030151839,0.0,2.746,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.775673707210489,4.450980392156863,4.5200000000000005,2.5971089820359285,5.830579291848352,0.0,0.0,0.0,1.6,3.816483617504394,0.4829130402062782,24.950000000000006,0.0,1.0,0.0,4.337172000000001,4.012828,0.0
ETHANE,0,2.0,0.372785555157605,3.0,1.0,2.0,2.0,0.0,0.0,4.0,0,0,0.0,1.0262,6,0,8,55.391816000000006,83.016576,0.0,41.540000000000006,0.0,0.0,1363.094624325494,2028.2411984228945,0.0,129.1920337605301,-0.5625,-0.75,337.691120158834,-126.63417005956268,-0.0689062499999998,-0.0506250000000002,-0.5661136602275626,8.200369032673493,1.0250461290841866,0.89,2.636,2.39,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,7.663510560815732,7.176470588235295,7.280000000000001,4.395663473053892,9.245868937772528,4.0,0.0,0.0,2.188721875540867,7.867668746754797,-0.3481257229235901,39.04000000000001,0.0,3.0,0.0,7.340758000000001,6.019241999999999,0.0
PROPANE,0,1.25,0.3854706587740357,6.0,1.6329931618554523,2.7071067811865475,3.0,0.0,0.0,4.25,0,0,2.0,1.4163,8,0,11,76.36926,125.74608400000002,0.0,57.47000000000001,0.0,0.0,1859.724284463992,2952.4433973887435,0.0,138.1109691541301,-0.4958677685950414,-3.165289256198346,491.1870838673949,-119.07565669512609,-0.0647933884297506,-0.0476033057851235,-0.5323235886804635,11.92780950207053,1.0843463183700484,0.9773363066878588,2.5909357046106023,2.3449357046106005,1.6329931618554523,1.8213672050459184,5.464101615137755,1.8213672050459184,1.8213672050459184,1.8213672050459184,5.464101615137755,4.732050807568879,1.8213672050459184,10.551347414420976,9.901960784313728,10.040000000000004,6.194217964071855,12.661158583696704,4.25,0.0,0.0,2.614080682014861,9.926052013809633,-0.8244293766420586,53.13000000000005,0.0,4.914213562373095,0.0,10.344344,8.025656,0.0
ISOBUTANE,0,0.8333333333333333,0.3971180036971562,9.0,2.3237900077244498,3.5773502691896257,4.0,0.0,0.0,6.5,0,0,1.3333333333333333,1.6623,10,0,14,97.346704,168.49930799999998,0.0,73.40000000000002,0.0,0.0,2356.35394460249,3882.112509043042,0.0,143.20750366475866,1.102040816326531,-8.020408163265307,643.2211812549219,-114.86092522409297,-0.0624999999999991,-0.045918367346938,-0.5134817779841855,15.619750538425697,1.1156964670304068,0.9839941003120974,2.5564717868660924,2.310471786866093,2.3237900077244498,2.322875655532295,9.29150262212918,2.322875655532295,2.322875655532295,2.322875655532295,9.29150262212918,6.64575131106459,2.322875655532295,13.43918426802622,12.62745098039216,12.800000000000004,7.992772455089819,16.07644822962088,6.5,0.0,0.0,2.944234353490973,13.671143071538427,-0.908933202819753,67.22000000000008,0.0,6.732050807568878,0.0,13.347930000000002,10.03207,0.0
n-BUTANE,0,1.3194444444444444,0.4310243576713091,7.5,1.9747448713915887,3.414213562373095,4.0,2.0,0.0,4.361111111111111,0,0,3.0,1.8064,10,0,14,97.346704,168.475592,0.0,73.40000000000002,4.001516143640999,0.0,2356.35394460249,3876.6455963545927,0.0,143.20750366475866,0.1020408163265306,-4.448979591836734,643.2211812549219,-114.86092522409294,-0.0624999999999991,-0.045918367346938,-0.5134817779841854,15.619750538425697,1.1156964670304068,0.9860010787499066,2.5757868010618714,2.3297868010618723,1.9747448713915887,2.581138830084191,10.324555320336763,2.581138830084191,2.581138830084191,2.581138830084191,10.324555320336763,8.576491222541478,2.581138830084191,13.43918426802622,12.62745098039216,12.800000000000004,7.992772455089819,16.07644822962088,4.361111111111111,0.0,0.0,2.944234353490973,13.09255135541351,-1.282733202819753,67.22000000000008,0.0,6.871320343559642,0.0,13.347930000000002,10.03207,0.0
"1,1,3-TRIMETHYLCYCLOHEXANE",0,0.650462962962963,0.4672251759438993,34.333333333333336,2.410837013264412,6.905777393935816,7.111111111111111,2.0,0.0,7.158958333333333,0,0,1.8327123968149608,3.2227000000000023,18,0,27,188.7969960000001,384.660436,241.8647040000001,143.37,43.404083515470006,16.006064574563997,4469.666941246482,8339.687441446436,6657.035472872964,161.89479687039673,11.000000000000004,-12.999999999999991,1350.7644806353364,-6.171907703519368e-13,-9.151090379294008e-16,-7.638334409421077e-16,1.3286518531090666e-15,32.80147613069396,1.2148694863219984,0.992051869310368,2.51261670209798,2.266616702097983,2.410837013264412,4.140644070247041,37.26579663222337,4.140644070247041,4.140644070247041,4.140644070247041,37.26579663222337,26.565781812842133,4.140644070247041,25.9905316824472,24.529411764705884,24.84,16.186990419161678,30.737606813317583,7.158958333333333,0.0,0.2222222222222222,3.836591668108978,25.267838909081263,-2.424849171578492,126.80999999999996,0.0,17.310708415336467,0.0,27.032273999999973,18.057726,0.0
n-PENTANE,0,1.34375,0.4687855098011331,8.4,2.19060968716425,4.121320343559642,5.0,4.0,0.0,4.423611111111111,0,0,4.0,2.1965000000000003,12,0,17,118.324148,211.2051,60.466176,89.33000000000001,12.016620718187998,4.001516143640999,2852.983604740988,4800.84779532044,1664.2588682182409,146.50526128928303,0.4844290657439439,-5.121107266435986,794.5673415501976,-112.17421292473372,-0.0610380622837375,-0.0448442906574399,-0.501470923938603,19.294985959231745,1.1349991740724557,0.9872569003884862,2.5675947494211764,2.3215947494211786,2.19060968716425,3.3152863007600737,16.576431503800364,3.3152863007600737,3.3152863007600737,3.3152863007600737,16.576431503800364,13.524283729399976,3.3152863007600737,16.327021121631464,15.35294117647059,15.560000000000002,9.791326946107784,19.491737875545056,4.423611111111111,0.0,0.0,3.2134817931229813,16.564363271458024,-1.7293109512410845,81.3100000000001,0.0,8.849873734152917,0.0,16.351516,12.038484,0.0
ISOPENTANE,0,0.8842592592592591,0.4444408351269941,9.6,2.5395388613593908,4.284457050376173,5.0,4.0,0.0,6.643518518518518,0,0,2.25,2.0524,12,0,17,118.324148,211.228816,0.0,89.33000000000001,8.003032287282,0.0,2852.983604740988,4806.31470800889,0.0,146.50526128928303,2.484429065743944,-7.94463667820069,794.5673415501976,-112.17421292473372,-0.0610380622837375,-0.0448442906574399,-0.5014709239386028,19.294985959231745,1.1349991740724557,0.986400585850396,2.5501003957039803,2.30410039570398,2.5395388613593908,2.9837177083653708,14.918588541826855,2.9837177083653708,2.9837177083653708,2.9837177083653708,14.918588541826855,11.321988793881976,2.9837177083653708,16.327021121631464,15.35294117647059,15.560000000000002,9.791326946107784,19.491737875545056,6.643518518518518,0.0,0.0,3.2134817931229813,15.090860089398962,-1.3555109512410843,81.3100000000001,0.0,8.696801932082174,0.0,16.351516,12.038484,0.0
NEOPENTANE,0,0.5,0.4105781835342534,12.0,3.0237157840738176,4.5,5.0,0.0,0.0,8.75,0,0,1.0,2.0524,12,0,17,118.324148,211.27624799999995,0.0,89.33000000000001,0.0,0.0,2852.983604740988,4817.248533385788,0.0,146.50526128928303,4.484429065743943,-15.591695501730102,794.5673415501976,-112.17421292473372,-0.0610380622837375,-0.0448442906574399,-0.5014709239386028,19.294985959231745,1.1349991740724557,0.9869366140699168,2.527494886423066,2.281494886423064,3.0237157840738176,2.6422205101855964,13.21110255092798,2.6422205101855964,2.6422205101855964,2.6422205101855964,13.21110255092798,8.605551275463993,2.6422205101855964,16.327021121631464,15.35294117647059,15.560000000000002,9.791326946107784,19.491737875545056,8.75,0.0,0.0,3.2134817931229813,17.487132873161,-1.3380509512410843,81.3100000000001,0.0,8.5,0.0,16.351516,12.038484,0.0
METHYLCYCLOPROPANE,0,1.0833333333333333,0.3934207493755273,26.25,2.171098317873574,2.9915638315627207,2.25,0.2222222222222222,0.0,2.2777777777777777,0,0,0.27,1.4163,8,0,12,83.909776,148.32020000000003,0.0,63.72000000000001,0.0,0.0,1986.518640553992,3321.8926402818456,0.0,161.89479687039673,3.0000000000000027,-13.333333333333332,600.3397691712604,-1.6818682791868392e-15,8.403154715273967e-16,7.155387393709134e-16,-1.2203538571008544e-15,14.578433835863986,1.2148694863219989,0.9939316247903812,2.590782898291794,2.3447828982917924,2.171098317873574,2.049823864837932,8.199295459351728,2.049823864837932,2.049823864837932,2.049823864837932,8.199295459351728,6.48283240128394,2.049823864837932,11.551347414420976,10.901960784313728,11.040000000000004,7.194217964071855,13.661158583696704,2.2777777777777777,0.0,0.25,2.6666666666666665,11.874687506009636,-0.6784827810523284,56.36000000000007,0.0,7.175868588434429,0.0,12.014344,8.025656,0.0
