Name,PC2D_pred,PC2D_std
C1,4781520.0,0.060603146
C2,4623566.0,0.031861242
C3,4117696.2,0.021280028
C4,3736298.8,0.0117759695
C5,3371957.5,0.011225825
C6,3044660.0,0.012144222
C7,2769657.5,0.008043087
C8,2522968.8,0.006205962
C9,2313356.8,0.01073
C10,2142310.5,0.012002007
C11,1995897.2,0.012443869
C12,1862274.8,0.013555289
C13,1737415.8,0.015225458
C14,1621917.9,0.016911566
C15,1517217.1,0.01832013
C16,1423584.9,0.019354582
C17,1340417.8,0.019941812
C18,1266483.8,0.020168677
C19,1200468.4,0.02024114
C20,1141040.0,0.020421991
C21,1087084.2,0.020871868
C22,1037635.5,0.021689357
C23,991921.06,0.022862267
C24,949286.5,0.02434334
C25,909210.7,0.026027901
C26,871242.2,0.027811894
C27,835038.4,0.029608449
C28,800296.2,0.031366967
C29,766812.25,0.033098802
C30,734414.06,0.03484723
C31,703006.5,0.036713295
C32,672504.5,0.038789015
C33,642879.44,0.041190606
C34,614093.1,0.043972053
C35,586146.1,0.04718709
C36,559020.9,0.050806653
C37,532727.5,0.054825764
C38,507260.4,0.05918397
C39,482641.06,0.06389199
C40,458874.22,0.06891929
C41,435977.47,0.074312046
C42,413945.16,0.08004735
C43,392782.75,0.0861736
C44,372469.84,0.092655666
C45,352999.0,0.099538736
C46,334342.8,0.10677588
C47,316485.72,0.11440799
C48,299399.56,0.12238044
C49,283067.34,0.13073702
C50,267467.6,0.13942981
C51,252588.28,0.1485158
C52,238412.97,0.1579513
C53,224929.56,0.1677842
C54,212118.66,0.17794599
C55,199962.25,0.18845883
C56,188435.67,0.19922827
C57,177516.83,0.21027155
C58,167181.22,0.22150302
C59,157405.94,0.23296303
C60,148169.3,0.24458809
C61,139448.47,0.25644216
C62,131223.66,0.2684709
C63,123470.516,0.28073728
C64,116169.49,0.2931783
C65,109295.28,0.30585712
C66,102827.555,0.31871894
C67,96741.65,0.33184972
C68,91017.76,0.34521517
C69,85632.29,0.35891157
C70,80565.08,0.37287638
C71,75792.74,0.38714728
C72,71293.37,0.40155882
C73,67042.12,0.41603774
C74,63018.63,0.43034336
C75,59204.023,0.4444105
C76,55588.29,0.45813304
C77,52163.176,0.4716395
C78,48927.4,0.48503396
C79,45876.676,0.49855167
C80,43008.547,0.5122915
C81,40315.613,0.52638566
C82,37791.184,0.5408056
C83,35425.81,0.5555848
C84,33211.71,0.5706631
C85,31138.938,0.5860959
C86,29199.45,0.60186446
C87,27383.297,0.6180514
C88,25682.629,0.63463783
C89,24088.57,0.65167487
C90,22594.55,0.66910857
C91,21193.05,0.6869531
C92,19878.504,0.70512307
C93,18644.035,0.72359145
C94,17484.361,0.7422342
C95,16393.52,0.76100194
C96,15367.247,0.77978
C97,14401.073,0.7985614
C98,13492.145,0.81730294
C99,12637.123,0.83606935
C100,11833.736,0.85485727
C101,11078.92,0.8737383
C102,10370.43,0.89270204
C103,9705.395,0.9118185
C104,9081.933,0.9311031
C105,8497.565,0.9506542
C106,7950.3965,0.970488
C107,7437.659,0.9906334
C108,6956.994,1.0110006
C109,6505.605,1.031529
C110,6081.572,1.0521108
C111,5682.8076,1.072725
C112,5308.0337,1.0933262
C113,4955.7065,1.1139474
C114,4624.86,1.1345855
C115,4314.2656,1.1552987
C116,4023.125,1.1760789
C117,3750.3796,1.1969475
C118,3495.378,1.2178504
C119,3257.3174,1.2387867
C120,3035.9106,1.2597541
C121,2830.6733,1.2808768
C122,2641.1802,1.3023049
C123,2466.2498,1.3242329
C124,2304.3552,1.3467242
C125,2153.6055,1.3697554
C126,2012.6112,1.3931848
C127,1880.3877,1.4169284
C128,1756.556,1.4409451
C129,1640.7727,1.4653263
C130,1532.8019,1.4901717
C131,1432.1957,1.5156475
C132,1338.5685,1.5418571
C133,1251.376,1.5689013
C134,1170.1699,1.5967745
C135,1094.378,1.6254373
C136,1023.53864,1.6547368
C137,957.13824,1.6845206
C138,894.8095,1.7145689
C139,836.1937,1.7447284
C140,781.0728,1.77483
C141,729.22217,1.804796
C142,680.49634,1.8345233
C143,634.718,1.8639948
C144,591.7568,1.8931651
C145,551.45465,1.9220879
C146,513.7008,1.9507931
C147,478.362,1.9794118
C148,445.34076,2.0080342
C149,414.51242,2.0368252
C150,385.78027,2.0658662
C151,359.01965,2.095282
C152,334.1281,2.1251006
C153,310.98264,2.155392
C154,289.47885,2.1861374
C155,269.49902,2.2173762
C156,250.9408,2.2490737
C157,233.69127,2.2812521
C158,217.65251,2.3138516
C159,202.72125,2.3468716
C160,188.81126,2.3802297
C161,175.83452,2.413913
C162,163.72206,2.4478433
C163,152.40578,2.4820225
C164,141.83401,2.5164073
C165,131.95532,2.5510304
C166,122.73067,2.585875
C167,114.11824,2.6209874
C168,106.08521,2.6563525
C169,98.59453,2.6920025
C170,91.61575,2.7279088
C171,85.114624,2.764095
C172,79.0633,2.8005192
C173,73.430336,2.8372009
C174,68.18965,2.8740914
C175,63.313313,2.911197
C176,58.77778,2.9484637
C177,54.55988,2.9859188
C178,50.643127,3.0236082
C179,47.012836,3.0617359
C180,43.657654,3.1004965
C181,40.5607,3.1400702
C182,37.701637,3.1803823
C183,35.05519,3.2212543
C184,32.599785,3.262415
C185,30.316992,3.3037543
C186,28.194094,3.345208
C187,26.219086,3.3868396
C188,24.38225,3.428661
C189,22.673141,3.4707384
C190,21.083471,3.5130696
C191,19.60467,3.5557115
C192,18.230017,3.598661
C193,16.952387,3.6419752
C194,15.766003,3.685632
C195,14.664199,3.7296708
C196,13.641332,3.7740524
C197,12.690772,3.818792
C198,11.807211,3.863843
C199,10.984519,3.9092202
C200,10.218241,3.954893
