Name,TC2D_pred,TC2D_std
C1,273.86615,0.09947813
C2,285.0617,0.059412934
C3,344.58655,0.04517435
C4,398.95062,0.03753299
C5,455.6016,0.020083217
C6,503.97495,0.021188183
C7,541.0725,0.015951045
C8,572.50574,0.010190186
C9,600.84406,0.007831016
C10,624.9428,0.00593672
C11,645.106,0.0045800223
C12,662.831,0.0055947225
C13,678.95776,0.006524121
C14,693.2766,0.007078202
C15,706.6597,0.0076745786
C16,719.6088,0.008251113
C17,732.2917,0.008555627
C18,744.6022,0.008735558
C19,756.2176,0.009041265
C20,767.1256,0.009406862
C21,777.19116,0.009817597
C22,786.6056,0.010157915
C23,795.3699,0.010524219
C24,803.6778,0.010855555
C25,811.49774,0.011192291
C26,818.97504,0.011492668
C27,826.10077,0.0118560195
C28,833.0159,0.012301531
C29,839.6659,0.012802244
C30,846.08405,0.013232026
C31,852.1627,0.013557438
C32,857.9446,0.013902697
C33,863.3893,0.014571327
C34,868.60675,0.015848957
C35,873.59875,0.0178617
C36,878.479,0.020489678
C37,883.2392,0.023555536
C38,887.96454,0.026846925
C39,892.6293,0.030242832
C40,897.2893,0.033633746
C41,901.911,0.036978934
C42,906.5352,0.04023569
C43,911.1276,0.04339518
C44,915.717,0.046442524
C45,920.27386,0.049377352
C46,924.82294,0.052194793
C47,929.33813,0.05489546
C48,933.8455,0.057478737
C49,938.3213,0.059943847
C50,942.7919,0.062290773
C51,947.2317,0.06451698
C52,951.668,0.06662329
C53,956.07733,0.06860596
C54,960.48224,0.07046701
C55,964.8632,0.07220305
C56,969.2444,0.07381847
C57,973.6102,0.0753114
C58,977.9835,0.076689474
C59,982.35077,0.07795199
C60,986.735,0.079109795
C61,991.12146,0.080163695
C62,995.53217,0.081126794
C63,999.95105,0.082001664
C64,1004.39185,0.082803324
C65,1008.83795,0.0835373
C66,1013.29565,0.0842204
C67,1017.7506,0.08485922
C68,1022.2071,0.08547104
C69,1026.6538,0.08606211
C70,1031.1007,0.08664603
C71,1035.5391,0.08722643
C72,1039.9823,0.08781243
C73,1044.4277,0.08840363
C74,1048.8895,0.089005716
C75,1053.3593,0.089617394
C76,1057.8462,0.090243824
C77,1062.3405,0.0908858
C78,1066.8468,0.091549695
C79,1071.3472,0.09223988
C80,1075.8491,0.09296256
C81,1080.3345,0.09372344
C82,1084.8057,0.09452858
C83,1089.2521,0.095384225
