Name,PC_pred,PC_std
C2,5043899.5,0.022623183
C3,4369283.5,0.017296754
C4,3835627.0,0.021867737
C5,3413175.5,0.024886152
C6,3059974.0,0.025567332
C7,2785981.5,0.024014704
C8,2555336.5,0.024129452
C9,2345852.5,0.025326256
C10,2155239.0,0.026031943
C11,1984594.2,0.02595127
C12,1833595.2,0.02530341
C13,1700911.5,0.024428401
C14,1584689.2,0.023592932
C15,1482869.8,0.022923099
C16,1393378.0,0.022451093
C17,1314311.2,0.022173554
C18,1243979.2,0.022083001
C19,1180934.1,0.022186587
C20,1123933.8,0.022510564
C21,1071928.2,0.02309326
C22,1024042.6,0.023964252
C23,979548.94,0.025127938
C24,937863.7,0.02655954
C25,898523.8,0.028208936
C26,861157.56,0.030016275
C27,825483.1,0.031920094
C28,791284.8,0.03386607
C29,758399.94,0.03581188
C30,726709.2,0.037724398
C31,696120.2,0.03958114
C32,666572.7,0.041366573
C33,638016.44,0.043071322
C34,610421.0,0.04469131
C35,583758.5,0.046224307
C36,558012.5,0.047671158
C37,533167.1,0.049034286
C38,509210.8,0.05031664
C39,486130.6,0.05152237
C40,463914.16,0.052655663
C41,442547.56,0.053721216
C42,422017.78,0.054723334
C43,402307.12,0.05566615
C44,383398.97,0.05655382
C45,365276.1,0.057390332
C46,347916.53,0.058179755
C47,331301.44,0.058924768
C48,315408.22,0.059628423
C49,300213.56,0.06029428
C50,285696.4,0.06092476
C51,271831.97,0.061521944
C52,258597.73,0.06208761
C53,245970.7,0.06262418
C54,233926.98,0.06313328
C55,222444.16,0.06361629
C56,211499.34,0.06407436
C57,201071.19,0.0645094
C58,191137.52,0.06492234
C59,181677.12,0.06531372
C60,172669.97,0.065685526
C61,164095.92,0.066037655
C62,155935.7,0.06637249
C63,148170.98,0.06668939
C64,140783.9,0.06699026
C65,133756.69,0.06727578
C66,127073.33,0.06754696
C67,120717.47,0.067803964
C68,114674.03,0.068048395
C69,108928.18,0.06828056
C70,103465.86,0.06850136
C71,98273.72,0.06871272
C72,93338.75,0.0689139
C73,88648.56,0.06910566
C74,84191.47,0.06929087
C75,79955.96,0.0694684
C76,75931.65,0.06963928
C77,72108.03,0.0698048
C78,68475.39,0.069965534
C79,65024.2,0.070121326
C80,61745.89,0.07027416
C81,58631.75,0.07042459
C82,55673.703,0.070571855
C83,52864.047,0.07071748
C84,50195.414,0.07086271
C85,47660.95,0.07100659
C86,45253.773,0.07115121
C87,42967.676,0.0712959
C88,40796.676,0.07144147
C89,38735.0,0.0715895
C90,36777.164,0.07173775
C91,34918.02,0.071888484
C92,33152.566,0.07204319
C93,31476.201,0.07219968
C94,29884.398,0.07236008
C95,28372.963,0.07252357
C96,26937.762,0.07269121
C97,25575.086,0.07286361
C98,24281.205,0.07303942
C99,23052.738,0.07321982
C100,21886.34,0.07340648
C101,20778.86,0.07359695
C102,19727.4,0.073791794
C103,18729.076,0.07399341
C104,17781.256,0.07419865
C105,16881.352,0.07441116
C106,16026.964,0.07462835
C107,15215.817,0.0748524
C108,14445.694,0.07507975
C109,13714.525,0.07531425
C110,13020.339,0.07555497
C111,12361.314,0.07580125
C112,11735.623,0.076053634
C113,11141.604,0.07631087
C114,10577.65,0.07657363
C115,10042.204,0.0768423
C116,9533.918,0.077117145
C117,9051.323,0.077398404
C118,8593.157,0.07768534
C119,8158.1987,0.07797747
C120,7745.257,0.07827506
C121,7353.216,0.078578144
C122,6981.019,0.078886785
C123,6627.668,0.07920192
C124,6292.2026,0.079520695
C125,5973.717,0.07984597
C126,5671.3623,0.08017635
C127,5384.3115,0.080510534
C128,5111.789,0.08085024
C129,4853.074,0.08119549
C130,4607.44,0.081543505
C131,4374.247,0.0818982
C132,4152.8677,0.08225722
C133,3942.6892,0.08261997
C134,3743.1548,0.08298876
C135,3553.7117,0.08336095
C136,3373.8662,0.08373756
C137,3203.119,0.08411782
C138,3041.025,0.084503226
C139,2887.1282,0.08489044
C140,2741.021,0.08528391
C141,2602.3198,0.08567851
C142,2470.6294,0.08607949
C143,2345.6096,0.086483516
C144,2226.9153,0.086889304
C145,2114.229,0.08730069
C146,2007.246,0.08771518
C147,1905.6809,0.08813108
C148,1809.2566,0.08855156
C149,1717.7089,0.08897535
C150,1630.7981,0.08940151
C151,1548.2833,0.08983221
C152,1469.9469,0.09026395
C153,1395.5736,0.090698265
C154,1324.9656,0.091135755
C155,1257.9312,0.09157642
C156,1194.2883,0.09201935
C157,1133.8647,0.09246418
C158,1076.4987,0.09291231
C159,1022.03906,0.09336301
C160,970.33344,0.09381463
C161,921.24365,0.09426813
C162,874.6399,0.09472598
C163,830.3934,0.0951846
C164,788.38324,0.09564369
C165,748.5045,0.0961075
C166,710.6393,0.09657269
C167,674.6905,0.09703945
C168,640.5615,0.09750874
C169,608.1589,0.09797685
C170,577.3965,0.09844968
C171,548.1898,0.09892597
C172,520.46075,0.09939929
C173,494.13455,0.09987847
C174,469.14206,0.10035512
C175,445.41214,0.10083683
C176,422.88287,0.10131837
C177,401.49338,0.10180164
C178,381.18686,0.10228608
C179,361.90674,0.10277418
C180,343.60193,0.10326171
C181,326.22433,0.1037511
C182,309.7253,0.104240544
C183,294.06033,0.10473023
C184,279.18817,0.105225965
