Name,TC_pred,TC_std
C2,313.86783,0.034505617
C3,372.10928,0.02378742
C4,422.78433,0.015559264
C5,468.59518,0.010819382
C6,508.951,0.007976854
C7,542.9921,0.006882728
C8,571.7479,0.0068363263
C9,597.0177,0.006452995
C10,619.5853,0.006129309
C11,639.84595,0.006232999
C12,658.203,0.0064439275
C13,675.0526,0.006669899
C14,690.7249,0.0070421663
C15,705.45416,0.0075844047
C16,719.37823,0.008175761
C17,732.5634,0.008683586
C18,745.0341,0.009035711
C19,756.80023,0.009213447
C20,767.88025,0.009226439
C21,778.30707,0.009100386
C22,788.13446,0.008874713
C23,797.4251,0.008604528
C24,806.2545,0.008357509
C25,814.6991,0.008207204
C26,822.8338,0.008220857
C27,830.7252,0.008444672
C28,838.4356,0.00889663
C29,846.0163,0.009566344
C30,853.5096,0.010426328
C31,860.95013,0.011441527
C32,868.3658,0.01257725
C33,875.7767,0.013801824
C34,883.20294,0.015088307
C35,890.65643,0.016414037
C36,898.1506,0.01776118
C37,905.69666,0.019116038
C38,913.30426,0.020467838
C39,920.98236,0.021810513
C40,928.74146,0.023139155
C41,936.5899,0.024451628
C42,944.5359,0.025747227
C43,952.587,0.027025552
C44,960.74976,0.028287817
C45,969.0328,0.029534226
C46,977.4413,0.030766124
C47,985.981,0.03198363
C48,994.6552,0.033187393
C49,1003.47034,0.034378223
C50,1012.4286,0.03555556
C51,1021.5338,0.036720347
C52,1030.7891,0.037872095
C53,1040.1941,0.03901072
C54,1049.7522,0.040136334
C55,1059.4656,0.041249067
C56,1069.3328,0.04234871
C57,1079.3555,0.043435827
C58,1089.5347,0.04450984
C59,1099.869,0.045571793
C60,1110.3612,0.046621386
C61,1121.0076,0.04765923
C62,1131.8121,0.048686128
C63,1142.7709,0.049701367
C64,1153.8864,0.050706696
C65,1165.1549,0.05170092
C66,1176.5802,0.052685715
C67,1188.1599,0.053660642
C68,1199.8943,0.054627806
C69,1211.7838,0.055586528
C70,1223.826,0.056536254
C71,1236.0236,0.05747858
C72,1248.3746,0.05841307
C73,1260.8804,0.05934164
C74,1273.5406,0.060262732
C75,1286.3549,0.061177712
C76,1299.3248,0.062087186
C77,1312.45,0.06298983
C78,1325.7303,0.0638878
C79,1339.1674,0.06477968
C80,1352.762,0.06566693
C81,1366.5135,0.066550024
C82,1380.424,0.06742897
C83,1394.4912,0.06830043
C84,1408.7188,0.069170125
C85,1423.1083,0.07003744
C86,1437.6584,0.07089795
C87,1452.3721,0.07175664
C88,1467.248,0.07261044
C89,1482.2899,0.07346154
C90,1497.498,0.07430917
C91,1512.8711,0.075153075
C92,1528.4148,0.075995184
C93,1544.1272,0.076834366
C94,1560.0099,0.07767106
C95,1576.0668,0.07850506
C96,1592.2977,0.079336815
C97,1608.7028,0.08016576
C98,1625.2832,0.08099152
C99,1642.0438,0.08181771
C100,1658.9844,0.0826404
C101,1676.1046,0.08346026
C102,1693.4097,0.084280446
C103,1710.8973,0.085096136
C104,1728.5729,0.08591222
C105,1746.4353,0.086725645
C106,1764.4874,0.087538816
C107,1782.7295,0.08834738
C108,1801.1678,0.08915727
C109,1819.8004,0.089965425
C110,1838.63,0.090773456
C111,1857.6573,0.09157813
C112,1876.885,0.09238194
C113,1896.3143,0.09318485
C114,1915.9512,0.09398801
C115,1935.7935,0.09478877
C116,1955.8429,0.09558987
C117,1976.1039,0.096387565
C118,1996.5776,0.09718745
C119,2017.2662,0.09798548
C120,2038.1711,0.09878342
C121,2059.2957,0.09957869
C122,2080.641,0.100373745
C123,2102.2068,0.10116778
C124,2124.0005,0.10196214
C125,2146.0227,0.10275616
C126,2168.2732,0.10354902
C127,2190.7576,0.10434223
C128,2213.4753,0.105133355
C129,2236.4338,0.10592702
C130,2259.6262,0.10671585
C131,2283.0637,0.10750583
C132,2306.7417,0.1082953
C133,2330.671,0.109085225
C134,2354.8508,0.10987629
C135,2379.2793,0.11066592
C136,2403.9595,0.111451454
C137,2428.901,0.11224173
C138,2454.0999,0.113030165
C139,2479.5613,0.11381689
C140,2505.288,0.11460439
C141,2531.2808,0.1153901
C142,2557.544,0.116177574
C143,2584.0786,0.11696339
C144,2610.8938,0.11775058
C145,2637.982,0.118535995
C146,2665.3574,0.11932226
C147,2693.0134,0.12010657
C148,2720.956,0.12089312
C149,2749.1914,0.12167854
C150,2777.7146,0.12246046
C151,2806.54,0.12324687
C152,2835.6636,0.12403183
C153,2865.0867,0.12481529
C154,2894.812,0.12559836
C155,2924.8513,0.12638308
C156,2955.2024,0.12716636
C157,2985.8633,0.12794618
C158,3016.8503,0.12873334
C159,3048.1501,0.12951513
C160,3079.7778,0.1302975
C161,3111.7336,0.13108076
C162,3144.0242,0.13186415
C163,3176.6409,0.13264368
C164,3209.5955,0.13342583
C165,3242.8987,0.13420737
C166,3276.5498,0.1349921
C167,3310.5444,0.13577649
C168,3344.8818,0.13655397
C169,3379.5886,0.13733612
C170,3414.649,0.13811567
C171,3450.0728,0.13889648
C172,3485.8608,0.13967866
C173,3522.0269,0.14045967
C174,3558.5645,0.14124103
C175,3595.485,0.14202394
C176,3632.7747,0.14280039
C177,3670.4578,0.1435799
C178,3708.5356,0.14436205
C179,3746.998,0.14514025
C180,3785.8691,0.14592111
C181,3825.1335,0.14669849
C182,3864.805,0.14747778
C183,3904.8838,0.14825657
C184,3945.386,0.14903797
C185,3986.308,0.14981614
C186,4027.6545,0.15059617
C187,4069.4263,0.15137395
C188,4111.6157,0.15214983
C189,4154.266,0.1529308
C190,4197.343,0.15370862
C191,4240.858,0.1544852
C192,4284.833,0.1552647
C193,4329.2637,0.15604205
C194,4374.1636,0.15682337
C195,4419.499,0.15759449
C196,4465.3345,0.1583749
C197,4511.633,0.15915412
C198,4558.3975,0.15992735
C199,4605.6606,0.16070922
C200,4653.405,0.16148353
