Name,TC2D_pred
C1,989306.7306058806
C2,774507.4941296763
C3,1116560.4862596225
C4,1469651.0673942033
C5,1795170.6769373578
C6,2083041.5868166185
C7,2353729.53694598
C8,2608780.9493663525
C9,2836333.464589072
C10,3062903.2611946464
C11,3267346.9174672137
C12,3464665.8043121817
C13,3652684.6704184473
C14,3828785.838456671
C15,3990159.5579117355
C16,4147318.8666889076
C17,4297299.110648412
C18,4441148.481410613
C19,4577250.518122611
C20,4709261.837719059
C21,4834169.068220186
C22,4954882.598813115
C23,5068805.216962867
C24,5180534.300506537
C25,5287771.045089937
C26,5392063.628239941
C27,5490658.515699653
C28,5586892.648775366
C29,5679592.804267345
C30,5769644.04129665
C31,5855145.576335029
C32,5937545.309645172
C33,6015066.611164408
C34,6090765.6265590945
C35,6164617.516417308
C36,6240157.105098679
C37,6317622.785364949
C38,6400028.914656818
C39,6487232.086260153
C40,6581440.781434777
C41,6682033.535232298
C42,6790517.144420236
C43,6905927.14341785
C44,7029282.619173653
C45,7159443.971777896
C46,7297137.590724031
C47,7441173.103548512
C48,7592123.486340158
C49,7748825.834995809
C50,7911786.932352219
C51,8079910.01193179
C52,8253684.416556166
C53,8432098.03471982
C54,8615646.094058624
C55,8803400.917302577
C56,8995875.761052303
C57,9192219.837587833
C58,9392966.03535689
C59,9597330.090362059
C60,9805862.975332046
C61,10017834.28438946
C62,10233810.83811131
C63,10453105.519155875
C64,10676293.975404542
C65,10902725.737222096
C66,11132979.48547779
C67,11366434.996278383
C68,11603669.567909075
C69,11844085.210135179
C70,12088257.82633254
C71,12335605.571136713
C72,12586699.656347534
C73,12840971.605627596
C74,13098984.677294556
C75,13360182.913628602
C76,13625121.440075886
C77,13893250.528553713
C78,14165118.842693346
C79,14440182.087169198
C80,14718980.446153779
C81,15000974.425298125
C82,15286695.676009152
C83,15575608.554449221
C84,15868233.771020854
C85,16164042.113459485
C86,16463545.228113495
C87,16766214.35011811
C88,17072553.845460545
C89,17382037.603521213
C90,17695161.01393182
C91,18011396.630974535
C92,18331237.358636495
C93,18654155.19260125
C94,18980634.00514051
C95,19310146.249468386
C96,19643169.32120783
C97,19979176.130634513
C98,20318635.1106699
C99,20661022.697676305
C100,21006800.033938933
C101,21355438.813260943
C102,21707396.98113601
C103,22062148.525756836
C104,22420138.67522403
C105,22780845.322146207
C106,23144704.28563042
C107,23511196.014666457
C108,23880748.768293433
C109,24252837.71386205
C110,24627891.9285331
C111,25005384.156090096
C112,25385731.698670503
C113,25768412.94445943
C114,26153834.96988493
C115,26541472.790693402
C116,26931735.352530446
C117,27324094.033558015
C118,27718946.931714047
C119,28115769.742278136
C120,28514950.441784747
C121,28915962.71392849
C122,29319197.10384319
C123,29724116.363553245
C124,30131109.391725745
C125,30539637.093076915
C126,30950085.274851058
C127,31361910.78308214
C128,31775495.68889689
C129,32190293.33037847
C130,32606682.73689818
C131,33024117.392686557
C132,33442962.71375892
C133,33862683.59961052
C134,34283636.07930379
C135,34705272.10024818
C136,35127959.29113128
C137,35551148.81605883
C138,35975188.34594839
C139,36399534.9418881
C140,36824532.25059669
C141,37249646.04740784
C142,37675198.32446849
C143,38100660.26333322
C144,38526364.99669782
C145,38951768.56687656
C146,39377191.328480735
C147,39802103.21224314
C148,40226821.63754265
C149,40650808.511289224
C150,41074378.67852668
C151,41496993.65553454
C152,41918971.6491628
C153,42339767.763942175
C154,42759696.95336854
C155,43178217.3693825
C156,43595639.274171345
C157,44011417.19532509
C158,44425861.00269716
C159,44838434.127911545
C160,45249445.82050733
C161,45658336.2602229
C162,46065422.88813097
C163,46470176.24082447
C164,46872868.269865245
C165,47272974.83462357
C166,47670806.697030954
C167,48065819.69832283
C168,48458293.7031084
C169,48847716.354924284
C170,49234359.313964926
C171,49617719.51725608
C172,49998071.37202917
C173,50374892.341405064
C174,50748462.97109753
C175,51118271.93812575
C176,51484585.15012257
C177,51846900.55208323
C178,52205495.6503323
C179,52559872.32512001
C180,52910283.9904674
C181,53256249.54203254
C182,53598022.45617943
C183,53935119.98226389
C184,54267803.85358247
C185,54595583.6700196
C186,54918732.6676861
C187,55236773.30606652
C188,55549956.594531566
C189,55857820.95822271
C190,56160608.490870856
C191,56457869.30936808
C192,56749852.7390296
C193,57036110.51688648
C194,57316897.752418846
C195,57591755.3297499
C196,57860940.01699798
C197,58124019.18249346
C198,58381237.56787299
C199,58632165.268471725
C200,58877051.735532686
