Name,PC2D_pred
C1,5539866.807736869
C2,5026386.134281439
C3,4435996.469961257
C4,3855591.074333705
C5,3441850.758076573
C6,3089572.3747067
C7,2855500.8926482922
C8,2616870.084583213
C9,2343598.183733463
C10,2130673.951538704
C11,1972896.3536100558
C12,1834160.8816356603
C13,1731359.00462105
C14,1587946.3076128566
C15,1495966.6377237183
C16,1405152.3321374108
C17,1307383.0386454293
C18,1234295.8748438081
C19,1162645.7581279657
C20,1097080.7958370137
C21,1046085.306322892
C22,999061.0349646397
C23,947790.1637860672
C24,902863.1969038579
C25,885423.5019157561
C26,833195.0722422107
C27,792684.6885013003
C28,760741.6314177624
C29,735329.0155140776
C30,713176.5233329547
C31,712842.0403949528
C32,714188.1285085675
C33,711170.2722625706
C34,709260.4769867625
C35,709260.4769867625
C36,707824.645402383
C37,707824.645402383
C38,705289.0770164902
C39,705194.206070581
C40,704552.8525256274
C41,704552.8525256274
C42,704422.7425894721
C43,704300.4372122907
C44,704300.4372122907
C45,704300.4372122907
C46,704300.4372122907
C47,704300.4372122907
C48,704300.4372122907
C49,704300.4372122907
C50,703979.8673333984
C51,703609.662697191
C52,703487.4984909811
C53,703295.3091891024
C54,703295.3091891024
C55,703295.3091891024
C56,702875.2831479474
C57,703271.7256831704
C58,703271.7256831704
C59,704570.4227195249
C60,704249.7299538407
C61,737213.2987280247
C62,737213.2987280247
C63,737213.2987280247
C64,737213.2987280247
C65,737213.2987280247
C66,737213.2987280247
C67,737213.2987280247
C68,735191.641507741
C69,735191.641507741
C70,735191.641507741
C71,735191.641507741
C72,735191.641507741
C73,735191.641507741
C74,734522.5331362925
C75,734522.5331362925
C76,734212.8661113909
C77,734212.8661113909
C78,734212.8661113909
C79,734212.8661113909
C80,734212.8661113909
C81,734212.8661113909
C82,734212.8661113909
C83,734212.8661113909
C84,734212.8661113909
C85,734212.8661113909
C86,734212.8661113909
C87,734212.8661113909
C88,734212.8661113909
C89,734212.8661113909
C90,734212.8661113909
C91,734212.8661113909
C92,734212.8661113909
C93,733544.6485373543
C94,733544.6485373543
C95,733544.6485373543
C96,733544.6485373543
C97,733544.6485373543
C98,733544.6485373543
C99,733544.6485373543
C100,733544.6485373543
C101,733544.6485373543
C102,733544.6485373543
C103,733544.6485373543
C104,733544.6485373543
C105,733544.6485373543
C106,733544.6485373543
C107,733544.6485373543
C108,733544.6485373543
C109,733544.6485373543
C110,733544.6485373543
C111,733544.6485373543
C112,733544.6485373543
C113,733544.6485373543
C114,733544.6485373543
C115,733544.6485373543
C116,733544.6485373543
C117,733544.6485373543
C118,733544.6485373543
C119,733544.6485373543
C120,733544.6485373543
C121,733544.6485373543
C122,733544.6485373543
C123,733544.6485373543
C124,733544.6485373543
C125,733544.6485373543
C126,733544.6485373543
C127,733544.6485373543
C128,733544.6485373543
C129,733544.6485373543
C130,733544.6485373543
C131,733544.6485373543
C132,733544.6485373543
C133,733544.6485373543
C134,733544.6485373543
C135,733544.6485373543
C136,733544.6485373543
C137,733544.6485373543
C138,733544.6485373543
C139,733544.6485373543
C140,733544.6485373543
C141,733544.6485373543
C142,733544.6485373543
C143,733544.6485373543
C144,733544.6485373543
C145,733544.6485373543
C146,733544.6485373543
C147,733544.6485373543
C148,733544.6485373543
C149,733544.6485373543
C150,733544.6485373543
C151,733544.6485373543
C152,733544.6485373543
C153,733544.6485373543
C154,733544.6485373543
C155,733544.6485373543
C156,733544.6485373543
C157,733544.6485373543
C158,733544.6485373543
C159,733544.6485373543
C160,733544.6485373543
C161,733544.6485373543
C162,733544.6485373543
C163,733544.6485373543
C164,733544.6485373543
C165,733544.6485373543
C166,733544.6485373543
C167,733544.6485373543
C168,733544.6485373543
C169,733544.6485373543
C170,733544.6485373543
C171,733544.6485373543
C172,733544.6485373543
C173,733544.6485373543
C174,733544.6485373543
C175,733544.6485373543
C176,733544.6485373543
C177,733544.6485373543
C178,733544.6485373543
C179,733544.6485373543
C180,733544.6485373543
C181,733544.6485373543
C182,733544.6485373543
C183,733544.6485373543
C184,733544.6485373543
C185,733544.6485373543
C186,733544.6485373543
C187,733544.6485373543
C188,733544.6485373543
C189,733544.6485373543
C190,733544.6485373543
C191,733544.6485373543
C192,733544.6485373543
C193,733544.6485373543
C194,733544.6485373543
C195,733544.6485373543
C196,733544.6485373543
C197,733544.6485373543
C198,733544.6485373543
C199,733544.6485373543
C200,733544.6485373543
