Name,PC2D_pred,PC2D_std
C1,5174638.5,0.049583413
C2,4788790.0,0.021972647
C3,4196016.5,0.012482537
C4,3743670.8,0.010717244
C5,3352948.2,0.009428221
C6,3028217.5,0.01788109
C7,2757489.2,0.020968944
C8,2519845.0,0.020537162
C9,2316942.0,0.021186693
C10,2147846.0,0.025745478
C11,1997477.8,0.03150784
C12,1856511.6,0.035733838
C13,1724168.1,0.03699206
C14,1601901.9,0.035864927
C15,1491561.1,0.03435956
C16,1394261.9,0.03351857
C17,1309784.1,0.03324048
C18,1236781.1,0.033146434
C19,1173229.0,0.03300094
C20,1117054.2,0.03275789
C21,1066407.9,0.032452893
C22,1019895.56,0.032144323
C23,976452.44,0.031905808
C24,935387.7,0.031801734
C25,896191.8,0.031909317
C26,858577.7,0.032280866
C27,822314.94,0.03296643
C28,787308.1,0.033977035
C29,753453.06,0.035317533
C30,720723.9,0.036957584
C31,689079.8,0.03887178
C32,658519.2,0.041013297
C33,629016.9,0.04335229
C34,600577.44,0.04584745
C35,573177.75,0.048477743
C36,546814.8,0.051213313
C37,521466.9,0.05404181
C38,497123.75,0.05694169
C39,473756.62,0.059904914
C40,451352.66,0.062915795
C41,429880.28,0.06596758
C42,409320.47,0.06905006
C43,389642.06,0.072156675
C44,370822.47,0.075281866
C45,352830.38,0.07841977
C46,335640.8,0.081568725
C47,319222.3,0.08472283
C48,303551.4,0.08788398
C49,288595.28,0.09104596
C50,274330.56,0.09421356
C51,260726.62,0.09737956
C52,247760.4,0.10054976
C53,235402.25,0.10371716
C54,223630.19,0.106888995
C55,212417.47,0.11005629
C56,201741.36,0.11322827
C57,191576.6,0.11639503
C58,181904.06,0.11956503
C59,172698.45,0.122728504
C60,163942.16,0.125895
C61,155612.31,0.12905374
C62,147691.89,0.13221423
C63,140159.9,0.13536671
C64,133000.88,0.13852051
C65,126195.47,0.1416652
C66,119729.27,0.14481175
C67,113584.31,0.14794984
C68,107747.555,0.15109031
C69,102202.54,0.15422408
C70,96937.336,0.15736173
C71,91936.555,0.16049483
C72,87189.586,0.1636333
C73,82682.12,0.16676968
C74,78404.39,0.1699129
C75,74343.516,0.17305563
C76,70490.48,0.17620699
C77,66833.5,0.17936029
C78,63364.3,0.18252228
C79,60072.266,0.18568677
C80,56949.797,0.18886079
C81,53987.16,0.19203803
C82,51177.523,0.19522408
C83,48512.074,0.1984135
C84,45984.523,0.2016112
C85,43587.04,0.20481214
C86,41313.965,0.20802122
C87,39157.863,0.21123257
C88,37113.965,0.21445149
C89,35175.44,0.21767357
C90,33337.82,0.22090162
C91,31595.176,0.22413267
C92,29943.424,0.2273697
C93,28377.156,0.2306099
