Name,TC2D_pred,TC2D_std
C1,263.86877,0.09545184
C2,288.71735,0.051643454
C3,354.54672,0.032291785
C4,411.41046,0.024839763
C5,462.65253,0.021631928
C6,506.44366,0.013749187
C7,539.23376,0.01178322
C8,569.8715,0.009344064
C9,597.51355,0.0074433438
C10,622.15924,0.0074034873
C11,643.13086,0.007042285
C12,661.15674,0.005677444
C13,677.4759,0.0047263433
C14,692.5239,0.0040453193
C15,706.90137,0.0046172305
C16,720.69635,0.005392483
C17,734.0411,0.0066168737
C18,747.1295,0.0076760347
C19,759.6833,0.008708699
C20,771.8633,0.009343009
C21,783.2872,0.009690566
C22,794.2329,0.009687941
C23,804.41315,0.009471941
C24,814.17175,0.009093901
C25,823.2903,0.008635651
C26,832.09094,0.008170356
C27,840.38934,0.0077367574
C28,848.45807,0.0074107847
C29,856.1325,0.0071960883
C30,863.6359,0.00714554
C31,870.82635,0.00722403
C32,877.8881,0.0074534984
C33,884.6992,0.0077803964
C34,891.4157,0.008217668
C35,897.93475,0.00871852
C36,904.3929,0.009300051
C37,910.7002,0.009927817
C38,916.9728,0.010619361
C39,923.1345,0.011348373
C40,929.28406,0.012129251
C41,935.3533,0.012939637
C42,941.428,0.013790437
C43,947.44635,0.014663127
C44,953.4831,0.015566391
C45,959.4815,0.016485514
C46,965.5099,0.0174287
C47,971.5139,0.018384026
C48,977.5546,0.01935961
C49,983.58435,0.020346193
C50,989.6555,0.021351177
C51,995.7244,0.02236748
C52,1001.84094,0.023402125
C53,1007.9615,0.02444927
C54,1014.13196,0.025515236
C55,1020.3153,0.026595406
C56,1026.551,0.027695557
C57,1032.8027,0.028811807
C58,1039.1105,0.02994886
C59,1045.4402,0.031104024
C60,1051.827,0.032281063
C61,1058.2396,0.03347791
C62,1064.7123,0.034697533
C63,1071.2158,0.03593847
C64,1077.7797,0.037202835
C65,1084.3792,0.038489684
C66,1091.0419,0.039799735
C67,1097.7424,0.04113352
C68,1104.5082,0.042490195
C69,1111.3168,0.04387098
C70,1118.194,0.045274183
C71,1125.1156,0.046701528
C72,1132.1073,0.04815032
C73,1139.1497,0.049622666
C74,1146.2615,0.05111566
C75,1153.4269,0.05263131
C76,1160.6671,0.054165978
C77,1167.9629,0.055722415
C78,1175.3347,0.057296436
C79,1182.7661,0.05889043
C80,1190.275,0.060500517
C81,1197.8453,0.062128987
C82,1205.4961,0.06377189
C83,1213.2107,0.06543173
C84,1221.0084,0.06710419
C85,1228.8738,0.06879235
C86,1236.823,0.07049175
C87,1244.8413,0.07220506
C88,1252.9458,0.07392869
C89,1261.1227,0.0756649
C90,1269.3888,0.077410474
C91,1277.7279,0.07916758
C92,1286.1587,0.0809332
C93,1294.6659,0.0827095
C94,1303.265,0.0844937
C95,1311.9437,0.08628772
C96,1320.718,0.08808934
C97,1329.573,0.08990022
C98,1338.5239,0.09171775
C99,1347.5587,0.093544565
C100,1356.6929,0.095377766
C101,1365.9124,0.09721918
C102,1375.2311,0.09906714
C103,1384.6398,0.10092278
C104,1394.1482,0.102784626
C105,1403.7487,0.10465361
C106,1413.4509,0.106528595
C107,1423.2461,0.10841034
C108,1433.1466,0.110297665
C109,1443.1422,0.11219145
C110,1453.2428,0.11409035
C111,1463.4401,0.115995586
C112,1473.7444,0.11790543
C113,1484.1478,0.119820975
C114,1494.6617,0.12174096
C115,1505.273,0.12366658
C116,1515.9985,0.12559609
C117,1526.8247,0.12753056
C118,1537.7633,0.12946883
C119,1548.8054,0.13141163
C120,1559.9602,0.13335785
C121,1571.2201,0.13530807
C122,1582.5975,0.13726182
C123,1594.0814,0.13921894
C124,1605.6825,0.14117898
C125,1617.3921,0.14314243
C126,1629.2196,0.14510845
C127,1641.1577,0.14707735
C128,1653.2142,0.14904845
C129,1665.3861,0.15102215
C130,1677.6783,0.15299766
C131,1690.082,0.15497538
C132,1702.6115,0.15695505
C133,1715.2534,0.15893665
C134,1728.0242,0.16091953
C135,1740.9095,0.16290413
C136,1753.918,0.16488977
C137,1767.0488,0.16687685
C138,1780.3058,0.16886479
C139,1793.683,0.17085381
C140,1807.189,0.17284372
C141,1820.8169,0.17483447
C142,1834.5753,0.17682573
C143,1848.4563,0.1788178
C144,1862.4727,0.18081005
C145,1876.6104,0.18280275
C146,1890.8824,0.18479565
C147,1905.283,0.18678908
C148,1919.817,0.18878248
C149,1934.4796,0.19077604
C150,1949.2782,0.19276966
C151,1964.2086,0.19476315
C152,1979.2753,0.19675657
C153,1994.4736,0.19875006
C154,2009.8127,0.20074293
C155,2025.2852,0.20273602
C156,2040.899,0.20472859
C157,2056.647,0.20672114
C158,2072.5383,0.2087128
C159,2088.5654,0.2107045
C160,2104.7395,0.21269557
C161,2121.05,0.2146866
C162,2137.5073,0.21667686
C163,2154.1045,0.21866664
C164,2170.85,0.22065619
C165,2187.7378,0.22264503
C166,2204.7776,0.22463329
C167,2221.9563,0.2266212
C168,2239.2896,0.22860834
C169,2256.7695,0.23059493
C170,2274.3982,0.23258084
C171,2292.1785,0.23456609
C172,2310.112,0.23655096
C173,2328.1975,0.23853508
C174,2346.4395,0.24051853
C175,2364.8286,0.24250135
C176,2383.3816,0.24448352
C177,2402.0876,0.24646503
C178,2420.9514,0.24844569
C179,2439.973,0.25042585
C180,2459.1543,0.25240532
C181,2478.4973,0.25438413
C182,2498.003,0.2563619
C183,2517.6675,0.25833952
C184,2537.4998,0.26031595
C185,2557.4954,0.26229188
C186,2577.6572,0.26426706
C187,2597.983,0.26624155
C188,2618.484,0.26821524
C189,2639.1472,0.270188
C190,2659.9868,0.2721601
C191,2680.9924,0.2741315
C192,2702.1758,0.27610227
C193,2723.5303,0.27807224
C194,2745.064,0.28004107
