Name,PC2D_pred,PC2D_std
C1,4723448.0,0.0329197
C2,4747935.5,0.034594774
C3,4204873.5,0.027252002
C4,3775347.0,0.0154386265
C5,3406165.0,0.015685217
C6,3075984.2,0.014284877
C7,2793396.0,0.011649461
C8,2559053.2,0.012212879
C9,2361006.8,0.013985342
C10,2189300.0,0.01686646
C11,2032930.9,0.019476227
C12,1886029.9,0.020477634
C13,1746641.2,0.021789296
C14,1617639.0,0.024917545
C15,1501473.0,0.028641734
C16,1399942.0,0.031352237
C17,1311016.4,0.03212979
C18,1232126.2,0.031237638
C19,1160645.8,0.029279288
C20,1095495.5,0.027648406
C21,1036414.1,0.027513666
C22,983574.1,0.029151479
C23,936839.3,0.031491242
C24,895788.44,0.03374977
C25,859956.06,0.035691887
C26,829003.94,0.037777096
C27,802734.56,0.040560856
C28,780842.3,0.044258133
C29,762990.6,0.04859199
C30,748657.06,0.05303417
C31,737331.4,0.057102405
C32,728472.3,0.060487114
C33,721580.06,0.06304558
C34,716244.06,0.06475816
C35,712054.2,0.06570457
C36,708752.75,0.06600216
C37,706033.3,0.06582963
C38,703792.75,0.06537075
C39,701840.94,0.064855345
C40,700233.7,0.06445997
C41,698878.75,0.06432613
C42,697910.25,0.06446031
C43,697241.7,0.06483435
C44,696986.4,0.06536567
C45,697005.6,0.066017665
C46,697386.6,0.066765144
C47,697967.56,0.06760262
C48,698841.4,0.068544984
C49,699840.44,0.06957669
C50,701068.25,0.07072274
C51,702355.1,0.07194178
C52,703815.56,0.073265836
C53,705274.2,0.07462848
C54,706857.25,0.07607321
C55,708389.2,0.07751326
C56,709998.2,0.07900622
C57,711522.0,0.08044886
C58,713088.4,0.08191538
C59,714542.5,0.08329031
C60,716018.0,0.08466185
C61,717367.25,0.085909456
C62,718727.2,0.08713164
C63,719956.5,0.0882087
C64,721191.44,0.089245684
C65,722301.6,0.09012873
C66,723418.5,0.09096602
C67,724421.56,0.09165297
C68,725435.75,0.09229839
C69,726347.5,0.09280721
C70,727277.0,0.093287334
C71,728115.3,0.09365182
C72,728972.7,0.094005205
C73,729744.75,0.09426683
C74,730531.6,0.09453543
C75,731231.4,0.09473619
C76,731937.5,0.094961785
C77,732554.1,0.095143065
C78,733165.7,0.095368795
C79,733682.5,0.095575586
C80,734185.8,0.095848516
C81,734592.0,0.09612761
C82,734976.75,0.09649478
C83,735260.6,0.09688981
C84,735518.75,0.09739139
C85,735677.25,0.09793608
C86,735804.94,0.098598994
C87,735845.7,0.099309355
C88,735859.0,0.10013772
C89,735799.4,0.10100374
C90,735725.06,0.10197142
C91,735598.7,0.10295225
C92,735475.25,0.104003094
C93,735320.94,0.10503293
C94,735189.1,0.106094114
C95,735040.5,0.107102744
C96,734929.75,0.10810752
C97,734815.56,0.109039344
C98,734742.7,0.109944776
C99,734668.4,0.11077206
C100,734639.7,0.11156375
C101,734606.06,0.1122844
C102,734614.4,0.112970464
C103,734614.4,0.11360012
C104,734652.94,0.114200994
C105,734679.56,0.11476169
C106,734739.1,0.11530135
C107,734780.5,0.11581644
C108,734852.7,0.11631692
C109,734903.8,0.11680533
C110,734984.44,0.11728412
C111,735041.94,0.11775978
C112,735126.06,0.118228406
C113,735185.6,0.11869974
C114,735273.3,0.11916403
C115,735337.06,0.11963338
C116,735430.3,0.12009417
C117,735498.4,0.12055965
C118,735597.4,0.12101437
C119,735673.75,0.12147105
C120,735781.1,0.121914536
C121,735868.8,0.12235628
C122,735988.1,0.122783296
C123,736089.2,0.1232046
C124,736220.5,0.12361073
C125,736335.0,0.12400795
C126,736481.06,0.12439061
C127,736609.6,0.12476229
C128,736771.2,0.12512095
C129,736913.8,0.12546703
C130,737088.1,0.1258033
C131,737245.6,0.1261261
C132,737430.6,0.12644242
C133,737599.4,0.1267446
C134,737794.94,0.12704395
C135,737973.7,0.12732935
C136,738177.8,0.12761497
C137,738365.8,0.12788738
C138,738576.4,0.12816207
C139,738770.75,0.12842414
C140,738987.8,0.1286912
C141,739186.6,0.12894568
C142,739408.7,0.12920754
C143,739611.8,0.1294568
C144,739836.9,0.12971513
C145,740042.94,0.12996155
C146,740270.25,0.13021778
C147,740479.1,0.13046281
C148,740707.3,0.13071854
C149,740918.56,0.13096331
C150,741148.25,0.1312193
C151,741361.0,0.13146499
C152,741592.9,0.13172202
C153,741805.8,0.13196936
C154,742035.75,0.13222834
C155,742249.56,0.13247769
C156,742480.3,0.13273846
C157,742693.5,0.13299058
C158,742923.7,0.13325387
C159,743137.7,0.13350873
C160,743367.4,0.13377455
C161,743580.0,0.13403249
C162,743809.9,0.1343006
C163,744022.7,0.13456067
C164,744249.75,0.1348313
C165,744461.3,0.13509391
C166,744686.4,0.13536596
C167,744897.4,0.1356305
C168,745120.5,0.13590388
C169,745328.7,0.13616964
C170,745551.25,0.13644345
C171,745757.4,0.1367095
C172,745975.1,0.13698266
C173,746178.6,0.13724831
C174,746393.56,0.13751988
C175,746592.9,0.1377835
C176,746803.6,0.13805242
C177,746998.8,0.13831314
C178,747204.06,0.13857797
C179,747395.7,0.13883469
