Name,TC2D_pred,TC2D_std
C1,302.5504,0.15151049
C2,285.70468,0.1036188
C3,351.15628,0.06370286
C4,423.20667,0.0218024
C5,474.84146,0.021902349
C6,513.2689,0.017509907
C7,547.61053,0.01462547
C8,578.6318,0.014237781
C9,602.9317,0.011822015
C10,623.5906,0.0075914604
C11,644.0002,0.0062271724
C12,662.2895,0.009454515
C13,677.5644,0.013309993
C14,690.7889,0.009025546
C15,703.3649,0.0072367275
C16,716.2853,0.00856459
C17,728.5413,0.009899123
C18,740.0887,0.011459619
C19,750.6845,0.012678733
C20,762.4868,0.011791904
C21,773.87585,0.012711119
C22,784.9401,0.013421411
C23,796.0308,0.012893782
C24,806.4156,0.011594342
C25,816.24786,0.011440334
C26,824.96515,0.015077912
C27,831.5789,0.017446907
C28,836.5774,0.017261611
C29,840.9802,0.0155503005
C30,844.7839,0.013581749
C31,847.9775,0.012156229
C32,850.47156,0.011680275
C33,852.5118,0.011875751
C34,854.18665,0.0125149
C35,855.66724,0.0134582305
C36,857.0053,0.014646375
C37,858.2867,0.016070511
C38,859.5223,0.017698776
C39,860.7367,0.019485777
C40,861.9253,0.021365542
C41,863.0979,0.02325598
C42,864.2695,0.025123464
C43,865.46625,0.02692822
C44,866.72473,0.028711583
C45,868.05444,0.030474328
C46,869.4604,0.032273013
C47,870.87866,0.03404372
C48,872.2477,0.035745367
C49,873.48206,0.037241604
C50,874.56445,0.038515013
C51,875.4857,0.039536055
C52,876.2788,0.040370896
C53,876.96277,0.0410409
C54,877.56256,0.041604716
C55,878.09247,0.042072613
C56,878.5691,0.04247896
C57,879.0023,0.04282316
C58,879.40314,0.043127067
C59,879.78064,0.043385934
C60,880.1427,0.043614853
C61,880.4966,0.043809135
C62,880.8477,0.04397996
C63,881.2027,0.04412294
C64,881.5612,0.0442468
C65,881.932,0.04434816
C66,882.3119,0.044435084
C67,882.7036,0.04450461
C68,883.10236,0.044563916
C69,883.5062,0.044611197
C70,883.9044,0.0446524
C71,884.2935,0.04468525
C72,884.6638,0.044714455
C73,885.0107,0.044737592
C74,885.3298,0.044758298
C75,885.6211,0.04477405
C76,885.883,0.044788446
C77,886.1187,0.044798855
C78,886.32916,0.044808414
C79,886.5198,0.044815034
C80,886.691,0.044821184
C81,886.8487,0.044824924
C82,886.9922,0.04482837
C83,887.12616,0.04482959
C84,887.251,0.044830937
C85,887.37024,0.044830043
C86,887.48193,0.044829316
C87,887.5916,0.044826433
C88,887.69574,0.044823606
C89,887.79944,0.04481868
C90,887.8993,0.044813897
C91,887.99927,0.044806752
C92,888.09705,0.044799488
C93,888.19574,0.04478966
C94,888.29407,0.04477954
C95,888.39575,0.04476681
C96,888.4982,0.044753127
C97,888.60504,0.044736635
C98,888.7147,0.044719115
C99,888.83093,0.044698324
C100,888.9529,0.044676114
C101,889.0831,0.044650447
C102,889.2188,0.044623155
C103,889.3629,0.044592027
C104,889.51263,0.04455914
C105,889.6679,0.044521984
C106,889.8261,0.044482507
C107,889.9866,0.044438016
C108,890.14526,0.044390123
C109,890.3015,0.04433652
C110,890.45264,0.04427859
C111,890.6004,0.044213824
C112,890.7414,0.044144083
C113,890.87897,0.044067223
C114,891.01074,0.043985143
C115,891.1382,0.04389576
C116,891.2618,0.043801125
C117,891.383,0.04369916
C118,891.5021,0.043592054
C119,891.61896,0.043477558
C120,891.73376,0.04335784
C121,891.8485,0.043231092
C122,891.9616,0.043098807
C123,892.0748,0.042959303
C124,892.18756,0.04281492
C125,892.30035,0.042663474
C126,892.41174,0.042507116
C127,892.52496,0.042344216
C128,892.6382,0.04217663
C129,892.7509,0.042003073
C130,892.8642,0.041825574
C131,892.977,0.041642744
C132,893.0916,0.041456614
C133,893.2053,0.041265946
C134,893.3199,0.041073147
C135,893.4341,0.040876538
C136,893.5491,0.040678654
C137,893.6633,0.040478412
C138,893.7775,0.04027763
C139,893.89136,0.04007543
C140,894.0047,0.03987418
C141,894.1177,0.039672464
C142,894.22986,0.039472733
C143,894.3415,0.03927367
C144,894.4511,0.03907746
C145,894.55994,0.038883068
C146,894.667,0.03869238
C147,894.7728,0.038504396
C148,894.87646,0.03832105
C149,894.9785,0.038141087
C150,895.077,0.037966415
C151,895.1748,0.03779599
C152,895.2696,0.037630975
C153,895.36224,0.03747082
C154,895.4514,0.037316594
C155,895.53894,0.037167303
C156,895.6235,0.037024267
C157,895.7047,0.036886223
C158,895.7837,0.036754377
C159,895.86017,0.036627967
C160,895.93317,0.03650738
C161,896.0033,0.036392167
C162,896.0704,0.03628272
C163,896.13574,0.036178414
C164,896.1972,0.036079522
C165,896.2558,0.035985507
C166,896.31226,0.035896864
C167,896.3665,0.03581274
C168,896.41815,0.03573353
C169,896.467,0.035658542
C170,896.514,0.035587978
C171,896.5585,0.035521496
C172,896.6008,0.035459187
C173,896.64056,0.035400417
C174,896.67896,0.035345364
C175,896.71497,0.035293568
C176,896.7495,0.03524527
C177,896.7816,0.035199814
C178,896.8124,0.035157584
C179,896.8415,0.035117675
C180,896.8689,0.035080835
C181,896.8954,0.035046082
C182,896.91974,0.035013918
C183,896.9433,0.0349838
C184,896.9656,0.034955863
C185,896.98694,0.03492962
C186,897.00653,0.03490548
C187,897.02545,0.034882903
C188,897.0438,0.034861952
C189,897.0604,0.034842473
C190,897.0763,0.03482435
C191,897.09125,0.034807596
C192,897.1058,0.0347921
C193,897.11914,0.034777697
