Name,PC2D_pred,PC2D_std
C1,4714290.0,0.021695446
C2,4717123.5,0.027653212
C3,4111386.8,0.019416781
C4,3726484.0,0.019186856
C5,3373224.8,0.014927021
C6,3040052.5,0.014339152
C7,2766458.2,0.014228164
C8,2539407.2,0.01472204
C9,2341797.8,0.013651878
C10,2166949.5,0.014633782
C11,2010534.6,0.017945847
C12,1870473.0,0.018623268
C13,1741485.1,0.018292654
C14,1619990.4,0.02046002
C15,1505153.2,0.023862803
C16,1401880.4,0.027295915
C17,1312112.1,0.031210404
C18,1235153.4,0.03417563
C19,1167132.5,0.035155054
C20,1104321.4,0.034110446
C21,1045127.8,0.03233005
C22,990012.94,0.033603888
C23,940099.75,0.038491376
C24,896953.6,0.042047966
C25,859626.5,0.04228566
C26,826562.25,0.03861759
C27,796880.44,0.03161663
C28,771083.9,0.025567606
C29,750152.8,0.025674716
C30,735147.1,0.030613707
C31,725297.4,0.036710132
C32,719354.0,0.041900884
C33,716134.8,0.045085024
C34,714446.5,0.04665711
C35,713274.06,0.047443368
C36,711867.4,0.047914274
C37,709456.7,0.048896596
C38,705801.06,0.0515823
C39,701560.5,0.056077436
C40,697935.56,0.060671452
C41,695612.5,0.06425172
C42,694652.6,0.066917546
C43,694922.94,0.06910294
C44,696214.44,0.07083028
C45,698438.25,0.07206836
C46,701525.06,0.072792396
C47,705276.25,0.0733486
C48,709125.9,0.07383633
C49,712554.1,0.0739711
C50,715019.0,0.07339936
C51,716052.1,0.07228197
C52,716134.8,0.072177514
C53,716531.7,0.07394536
C54,717406.9,0.07678535
C55,718747.06,0.07991128
C56,720573.4,0.082542405
C57,722743.3,0.08449699
C58,725037.4,0.086006194
C59,727267.25,0.08748524
C60,729219.56,0.08924821
C61,730879.3,0.09144414
C62,732263.5,0.09410883
C63,733454.5,0.097355254
C64,734528.25,0.10125807
C65,735707.44,0.105711795
C66,737154.94,0.11030047
C67,738883.5,0.11452655
C68,740717.94,0.11807312
C69,742480.3,0.12082755
C70,744082.3,0.122836
C71,745531.25,0.124195576
C72,746909.75,0.12505454
C73,748369.3,0.12555169
C74,750072.75,0.1258449
C75,752187.3,0.12606126
C76,754759.1,0.12630276
C77,757726.8,0.12654796
C78,760870.25,0.12664436
C79,764013.6,0.12638658
C80,767022.9,0.12572971
C81,769886.1,0.124774165
C82,772575.2,0.12371285
C83,775173.0,0.12261691
C84,777817.4,0.12139319
C85,780809.56,0.11981096
C86,784189.3,0.11801385
C87,787456.75,0.11666923
C88,790140.9,0.11600214
C89,792447.06,0.11570028
C90,794741.75,0.115492925
C91,797258.25,0.11528929
C92,800103.1,0.11509404
C93,803247.7,0.11497421
C94,806587.6,0.11495821
C95,809995.56,0.11495756
C96,813488.44,0.11486263
C97,817185.75,0.11463363
C98,821267.1,0.11441247
C99,825766.44,0.11448296
C100,830420.3,0.115204155
C101,834915.75,0.11678214
C102,839282.5,0.11945473
C103,843602.2,0.12328924
C104,847447.7,0.12752774
C105,850611.94,0.13127413
C106,853397.3,0.13435137
C107,856142.06,0.13682847
C108,858975.0,0.1388534
C109,861775.44,0.14060596
C110,864237.9,0.14211279
C111,866214.2,0.14323539
C112,867857.06,0.14389658
C113,869401.2,0.14421457
C114,871017.0,0.14444588
C115,873025.44,0.14481477
C116,875763.0,0.14549696
C117,878951.75,0.146319
C118,881798.0,0.14680946
C119,883768.0,0.1468183
C120,884936.06,0.14666137
C121,885604.75,0.14653195
C122,886043.25,0.14647873
C123,886420.1,0.14647996
C124,886831.06,0.14651974
C125,887351.3,0.1465844
C126,888024.3,0.14667286
C127,888912.3,0.14678536
C128,890032.06,0.14693211
C129,891402.25,0.14713229
C130,892948.1,0.14741158
C131,894567.75,0.1477841
C132,896077.3,0.1482244
C133,897373.75,0.14867936
C134,898396.1,0.14909562
C135,899189.9,0.14945161
C136,899804.94,0.14975128
C137,900322.56,0.15000972
C138,900800.06,0.15024725
C139,901291.56,0.15047565
C140,901841.0,0.15071099
C141,902488.9,0.1509608
C142,903275.8,0.15124303
C143,904243.75,0.15157497
C144,905420.0,0.15199764
C145,906852.7,0.15256199
C146,908581.4,0.15335244
C147,910746.75,0.15448104
C148,913609.6,0.15611753
C149,917619.4,0.15853362
C150,922702.06,0.16188298
C151,927697.9,0.16549465
C152,931520.6,0.16819108
C153,934343.6,0.16980577
C154,936550.7,0.17083965
C155,938298.5,0.17177449
C156,939721.5,0.172767
C157,940931.2,0.1737693
C158,942008.56,0.17474715
C159,942974.8,0.17565759
C160,943858.44,0.1765033
C161,944667.0,0.1772657
C162,945419.6,0.17795606
C163,946133.94,0.17855777
C164,946854.3,0.1790782
C165,947624.0,0.179494
C166,948526.25,0.17980038
C167,949638.7,0.17996512
C168,951045.25,0.17998415
C169,952703.8,0.1798276
C170,954495.3,0.17948945
C171,956211.9,0.17892912
C172,957737.8,0.17820902
C173,958999.06,0.17743234
C174,959995.56,0.17677245
C175,960740.1,0.1762937
C176,961299.25,0.17602669
C177,961712.8,0.17591354
C178,962050.4,0.17592713
C179,962333.9,0.17601201
C180,962618.5,0.17616661
C181,962909.5,0.17636481
C182,963262.2,0.17663758
C183,963708.8,0.17699194
C184,964363.4,0.17751038
C185,965359.8,0.17827836
C186,966998.1,0.17950834
C187,969583.75,0.18144016
C188,973146.56,0.18424767
C189,976944.2,0.1875413
C190,980146.94,0.19064885
C191,982490.4,0.19317265
C192,984151.25,0.19512112
C193,985297.9,0.19654827
C194,986128.8,0.19762063
C195,986730.94,0.19840586
C196,987231.6,0.19904642
C197,987641.25,0.1995482
C198,988038.8,0.20000213
C199,988408.3,0.2003686
C200,988809.94,0.2007075
