Name,TC2D_pred,TC2D_std
C1,329.4708,0.20382686
C2,322.06754,0.22382338
C3,383.04175,0.15058479
C4,442.48907,0.0942342
C5,485.13367,0.061833963
C6,519.83844,0.039921544
C7,549.4965,0.022483189
C8,575.19257,0.014934431
C9,599.36096,0.015907425
C10,620.5291,0.025310965
C11,638.2702,0.03400581
C12,651.75775,0.040728416
C13,669.46844,0.02444073
C14,681.87775,0.029396284
C15,695.3591,0.035887465
C16,708.85474,0.042849164
C17,722.19824,0.04918288
C18,734.1955,0.05453642
C19,745.4851,0.059697825
C20,756.4211,0.06466422
C21,766.6301,0.06929627
C22,775.8463,0.07372499
C23,784.56885,0.077916734
C24,792.59393,0.081521966
C25,799.96454,0.08451256
C26,806.481,0.08695249
C27,812.11597,0.08904944
C28,816.63135,0.090756975
C29,820.30615,0.092176355
C30,823.1325,0.093322225
C31,825.38696,0.09425618
C32,827.2337,0.095082656
C33,828.8146,0.09591691
C34,830.00073,0.09674019
C35,830.8064,0.09753476
C36,831.2939,0.09828423
C37,831.6011,0.09897945
C38,831.85815,0.09962182
C39,832.2362,0.10023484
C40,832.8062,0.10083478
C41,833.5611,0.101428345
C42,834.286,0.101962835
C43,834.7859,0.10234376
C44,834.9009,0.102495626
C45,834.71497,0.10245937
C46,834.4376,0.102406055
C47,834.34534,0.102488294
C48,834.4953,0.10276777
C49,834.72534,0.103152394
C50,834.91125,0.10352938
C51,834.9794,0.103758775
C52,834.87384,0.10380081
C53,834.64294,0.10376714
C54,834.4483,0.10385955
C55,834.3158,0.10408213
C56,834.1973,0.10436979
C57,834.01917,0.10464435
C58,833.70825,0.104843944
C59,833.27655,0.104953274
C60,832.7876,0.105002664
C61,832.33417,0.10504632
C62,831.94617,0.105114155
C63,831.64667,0.1052646
C64,831.4215,0.10556779
C65,831.22095,0.10609177
C66,830.89325,0.10677698
C67,830.324,0.10750357
C68,829.5187,0.108189404
C69,828.49725,0.10897099
C70,826.97015,0.1099323
C71,824.798,0.11093347
C72,822.5047,0.111649
C73,820.3747,0.11175617
C74,818.1175,0.11109528
C75,815.417,0.10978591
C76,812.38666,0.10832211
C77,809.62933,0.10731129
C78,807.4969,0.106855854
C79,805.9551,0.10683187
C80,804.78265,0.10711666
C81,803.7886,0.10765724
C82,802.79346,0.10841793
C83,801.61646,0.10940883
C84,799.9932,0.110743694
