Name,PC_pred
C2,5114415.5
C3,4381505.5
C4,3869081.2
C5,3451670.8
C6,3114861.8
C7,2837529.2
C8,2600999.2
C9,2392405.5
C10,2204460.2
C11,2033898.5
C12,1879700.1
C13,1741588.1
C14,1619059.0
C15,1510949.1
C16,1415482.5
C17,1330590.4
C18,1254306.4
C19,1185056.5
C20,1121795.4
C21,1063963.8
C22,1011355.6
C23,963944.1
C24,921742.5
C25,884709.06
C26,852694.44
C27,825413.7
C28,802454.5
C29,783309.6
C30,767434.8
C31,754298.56
C32,743415.56
C33,734370.7
C34,726815.2
C35,720469.6
C36,715106.3
C37,710546.9
C38,706645.6
C39,703291.56
C40,700390.6
C41,697867.7
C42,695664.9
C43,693734.3
C44,692034.1
C45,690532.4
C46,689199.44
C47,688016.7
C48,686957.9
C49,686013.1
C50,685164.44
C51,684401.6
C52,683715.4
C53,683094.94
C54,682532.94
C55,682022.8
C56,681559.9
C57,681138.8
C58,680754.4
C59,680402.56
C60,680082.8
C61,679788.4
C62,679517.44
C63,679269.94
C64,679040.7
C65,678829.56
C66,678635.4
C67,678454.25
C68,678288.6
C69,678133.4
C70,677991.1
C71,677857.25
C72,677733.2
C73,677617.5
C74,677508.94
C75,677408.75
C76,677313.75
C77,677225.94
C78,677142.0
C79,677064.56
C80,676992.25
C81,676923.06
C82,676856.7
C83,676796.0
C84,676739.2
C85,676684.3
C86,676632.7
C87,676584.3
C88,676537.8
C89,676493.3
C90,676451.44
C91,676412.06
C92,676374.6
C93,676338.56
C94,676304.3
C95,676270.75
C96,676239.75
C97,676209.5
C98,676181.8
C99,676154.7
C100,676128.25
C101,676102.44
C102,676078.56
C103,676056.06
C104,676033.5
C105,676012.9
C106,675992.2
C107,675972.25
C108,675951.6
C109,675935.5
C110,675916.8
C111,675900.0
C112,675883.9
C113,675868.44
C114,675852.94
C115,675838.2
C116,675824.0
C117,675810.44
C118,675796.9
C119,675783.4
C120,675770.5
C121,675757.6
C122,675746.6
C123,675736.4
C124,675724.7
C125,675714.44
C126,675704.1
C127,675693.8
C128,675684.8
C129,675674.44
C130,675664.75
C131,675655.75
C132,675647.4
C133,675639.06
C134,675631.3
C135,675622.9
C136,675615.9
C137,675608.06
C138,675601.0
C139,675593.94
C140,675586.8
C141,675579.75
C142,675573.3
C143,675566.9
C144,675559.8
C145,675554.6
C146,675548.9
C147,675542.4
C148,675535.94
C149,675530.8
C150,675525.6
C151,675520.5
C152,675515.3
C153,675511.5
C154,675506.3
C155,675501.2
C156,675496.0
C157,675492.1
C158,675487.6
C159,675483.75
C160,675479.3
C161,675474.06
C162,675470.25
C163,675467.06
C164,675463.1
C165,675458.6
C166,675456.0
C167,675451.56
C168,675448.4
C169,675445.75
C170,675441.25
C171,675438.0
C172,675435.44
C173,675432.2
C174,675429.0
C175,675425.8
C176,675422.56
C177,675420.6
C178,675416.75
C179,675414.8
C180,675411.6
C181,675409.7
C182,675406.5
C183,675404.5
C184,675401.3
C185,675398.06
C186,675396.2
C187,675394.25
C188,675391.6
C189,675389.06
C190,675387.8
C191,675384.6
C192,675382.6
C193,675380.7
C194,675379.4
C195,675377.5
C196,675375.56
C197,675373.56
C198,675371.06
C199,675369.1
C200,675368.44
