Name,TC_pred
C2,314.50067
C3,392.07632
C4,428.71793
C5,477.68933
C6,517.8207
C7,551.16095
C8,578.7581
C9,602.36194
C10,622.9976
C11,641.2724
C12,657.6703
C13,672.6344
C14,686.53864
C15,699.6652
C16,712.21265
C17,724.31433
C18,736.053
C19,747.4656
C20,758.54456
C21,769.23737
C22,779.46405
C23,789.14264
C24,798.2137
C25,806.6525
C26,814.47
C27,821.69824
C28,828.38074
C29,834.5602
C30,840.2791
C31,845.57184
C32,850.4687
C33,854.99677
C34,859.17596
C35,863.0284
C36,866.57056
C37,869.81995
C38,872.79346
C39,875.5066
C40,877.9745
C41,880.2137
C42,882.23816
C43,884.06506
C44,885.70807
C45,887.1816
C46,888.4996
C47,889.6759
C48,890.72314
C49,891.6538
C50,892.4777
C51,893.2062
C52,893.8491
C53,894.4145
C54,894.9106
C55,895.3447
C56,895.7239
C57,896.0537
C58,896.3399
C59,896.5871
C60,896.8
C61,896.9822
C62,897.137
C63,897.2679
C64,897.3779
C65,897.46954
C66,897.5452
C67,897.6056
C68,897.65393
C69,897.6916
C70,897.7195
C71,897.7391
C72,897.7516
C73,897.7571
C74,897.75806
C75,897.75366
C76,897.746
C77,897.73486
C78,897.7207
C79,897.7045
C80,897.68695
C81,897.6668
C82,897.64624
C83,897.62396
C84,897.60175
C85,897.5786
C86,897.55554
C87,897.5319
C88,897.5093
C89,897.4853
C90,897.4631
C91,897.44
C92,897.41766
C93,897.3963
C94,897.3749
C95,897.3548
C96,897.3347
C97,897.31586
C98,897.29706
C99,897.27954
C100,897.26196
C101,897.2461
C102,897.23035
C103,897.21533
C104,897.20123
C105,897.18835
C106,897.1756
C107,897.164
C108,897.1529
C109,897.1425
C110,897.13324
C111,897.12415
C112,897.1161
C113,897.1088
C114,897.1028
C115,897.0964
C116,897.09125
C117,897.0866
C118,897.08276
C119,897.0798
C120,897.07715
C121,897.0755
C122,897.07416
C123,897.07367
C124,897.0733
C125,897.07367
C126,897.07495
C127,897.07715
C128,897.0798
C129,897.08276
C130,897.0866
C131,897.0909
C132,897.0955
C133,897.1003
C134,897.10706
C135,897.1135
C136,897.12036
C137,897.1276
C138,897.13666
C139,897.1456
C140,897.1546
C141,897.16437
C142,897.17505
C143,897.1858
C144,897.1974
C145,897.20935
C146,897.2218
C147,897.2346
C148,897.2482
C149,897.2628
C150,897.2778
C151,897.29236
C152,897.3082
C153,897.3248
C154,897.34155
C155,897.35956
C156,897.3779
C157,897.3958
C158,897.41516
C159,897.4348
C160,897.45496
C161,897.47595
C162,897.4964
C163,897.51825
C164,897.5414
C165,897.5645
C166,897.58765
C167,897.612
C168,897.636
C169,897.6612
C170,897.6878
C171,897.7147
C172,897.74133
C173,897.76874
C174,897.79694
C175,897.82556
C176,897.8548
C177,897.88513
C178,897.916
C179,897.9468
C180,897.97845
C181,898.00934
C182,898.0427
C183,898.07605
C184,898.11035
C185,898.14417
C186,898.1801
C187,898.2166
C188,898.253
C189,898.289
C190,898.3276
C191,898.36395
C192,898.4025
C193,898.4423
C194,898.4813
C195,898.52075
C196,898.56226
C197,898.6043
C198,898.6467
C199,898.6866
C200,898.72986
