Name,smiles,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_SPS,RDKit2D_BalabanJ,RDKit2D_Chi0n,RDKit2D_Kappa1,RDKit2D_Kappa3,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,PubChemFP_fp_0,PubChemFP_fp_9,Mordred2D_nAtom,Mordred2D_ATS0se,Mordred2D_ATS2se,Mordred2D_ATS6se,Mordred2D_ATS0are,Mordred2D_ATS5p,Mordred2D_ATS6p,Mordred2D_ATS0i,Mordred2D_ATS2i,Mordred2D_ATS6i,Mordred2D_AATS0v,Mordred2D_ATSC1dv,Mordred2D_ATSC2dv,Mordred2D_ATSC0v,Mordred2D_ATSC1v,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC0i,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTse-1l,Mordred2D_BCUTare-1l,Mordred2D_BalabanJ,Mordred2D_SpMAD_DzZ,Mordred2D_SpAbs_Dzse,Mordred2D_SpMAD_Dzse,Mordred2D_SpMAD_Dzpe,Mordred2D_SpMAD_Dzare,Mordred2D_SpAbs_Dzi,Mordred2D_SpDiam_Dzi,Mordred2D_SpMAD_Dzi,Mordred2D_Sse,Mordred2D_Spe,Mordred2D_Sare,Mordred2D_Sp,Mordred2D_Si,Mordred2D_SsCH3,Mordred2D_ETA_dEpsilon_D,Mordred2D_fMF,Mordred2D_CIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID_h,Mordred2D_MID_C,Mordred2D_AMID_O,Mordred2D_apol,Mordred2D_bpol,Mordred2D_TopoPSA,ChemInfo_ISF,ChemInfo_RC1,ChemInfo_DIP,ChemInfo_DZPE,ChemInfo_CV
2-ethylpyridine,CCc1ccccn1,1.0286111111111111,0.5313362980164081,9.125,2.8320858350070908,4.963721453445009,5.28986013986014,1.0594030875809968,0.0,2.099537037037037,0,0,1.6237851268217838,1.644,9,0,17,123.451424,206.35482,82.21824,96.7349,18.594790648792003,8.011080478792,2763.059423658241,4332.768521713896,2091.831407045592,205.15801090266848,19.05882352941176,3.8062283737024183,897.6993733106851,-41.02558970784264,0.0766705882352926,0.0714176470588229,-0.3218442300000007,25.136408861595744,1.4786122859762203,0.9880085292397176,2.468550142976515,2.224804132504238,2.125016255414672,3.0716848767751097,24.52031278311113,3.0738055349583977,3.056777462260886,3.0370710964939187,23.93329075287302,18.098966692512555,3.0057394432002305,16.658412235979608,15.95686274509804,16.148,11.252177844311378,19.159541664076443,2.099537037037037,0.0,0.3529411764705882,2.834165262787296,19.963772975671542,-2.143449294370529,95.71000000000002,0.2491289979866441,13.699633477415851,0.0,18.791137,10.168863,12.89,0.00761408,4.69496,1.7643,0.145623,26.846
phenylacetic acid,O=C(O)Cc1ccccc1,-0.7859259259259257,0.6651802326447549,9.2,2.6742416022951265,5.449320013098498,6.805074798619103,1.89537540220571,8.366910430839003,0.0,1,1,2.049538439809832,1.3137,8,0,18,140.77527200000003,214.767072,106.179192,113.22,20.747819543094003,9.936836493396,2864.598636518992,4115.0430151602495,2246.4620148502963,226.08815129837745,6.0,-16.0,905.2494119673676,45.097043897804326,-0.2610666666666679,-0.2777777777777784,0.4000549311111126,24.37957355621775,1.3544207531232084,1.9899325614153776,2.4400936010869154,2.194106570939428,2.1312821385375686,3.991736848976658,39.529103138940414,3.992669481929072,3.986335173256696,3.969636173548954,40.11781543686432,31.74870045758002,4.039483013426961,18.212672978878366,17.6,17.84,12.154697005988025,20.07993073008712,0.0,0.0503030303030304,0.3333333333333333,2.7777777777777777,26.779251872409247,-1.387599470991049,107.26000000000003,0.3394835284288849,16.14028767835529,0.3394835284288849,20.298344,8.893656,37.3,0.005131896,2.97888,1.4279,0.144278,31.982
ethyl heptanoate,CCCCCCC(=O)OCC,-0.0522193877551016,0.4383150695699537,9.636363636363637,3.040425665876032,7.559137268047012,10.47,7.365875295682101,0.0,4.500911123708743,0,0,7.210590601900741,2.5199000000000007,18,0,29,215.50042800000008,387.5540639999999,328.8253800000001,167.87,47.85157438928199,39.89341900098,4840.569512851482,8283.059121231989,7576.120635775977,165.65314032515258,28.9988109393579,17.165279429250905,1382.5799477402625,-151.4712980388324,0.1144242568370951,0.1034958382877512,-1.0583106537872442,33.99018711358279,1.1720754177097514,0.9871880471937738,2.5580322393409407,2.312323993692288,2.972577652743968,6.393564885071782,69.94917471912117,6.395982052184081,6.379564712199263,6.336280852202774,71.40690257814751,56.68068710874107,6.517292096739107,28.65185724690459,27.22745098039216,27.64,17.14746946107785,33.156378959708,3.994352481733434,0.0,0.0,3.640964656515256,26.036524662195525,-2.7594167316037828,145.11000000000004,0.3322324133207223,16.99787905728092,0.3322324133207223,28.636274,20.661726,26.3,0.005134688,2.74727,1.9973,0.26263,48.064
"1,4-dimethylpiperazine",CN1CCN(C)CC1,1.2326388888888888,0.432415828725247,26.25,2.1923771580194718,5.7228543157461065,6.046262626262625,1.4562252861602496,0.0,4.930555555555555,0,0,1.8626153767119684,-0.1364,14,0,22,159.70486400000004,320.3555600000001,42.705792,124.10980000000002,21.41734675516799,6.68126586,3772.0933904994863,7256.53216909389,918.7352862774,157.4046444987441,12.545454545454543,-31.10743801652892,1000.975562782536,-199.2592242685689,0.3492363636363571,0.3171272727272708,-1.573707610909086,27.833935259813067,1.2651788754460485,0.9960157990048658,2.606812471354534,2.3678913237086285,2.1923771580194718,3.5580313831451527,28.38406429250684,3.565540910702365,3.5049885491213004,3.434156431333103,26.33250271427208,19.97463697701252,3.319719037466216,21.541150764748725,20.462745098039218,20.776,12.907246706586823,25.488504036304537,4.347222222222222,0.0,0.2727272727272727,3.218761086960609,24.71831418581545,-0.3791481517308864,104.50000000000004,0.5208811155910982,11.365780283966304,0.0,21.555102,17.464897999999998,6.48,0.006683472,3.92651,1.0512,0.203587,32.148
methyl hexanoate,CCCCCC(=O)OC,-0.0940277777777773,0.4277197407264158,9.11111111111111,2.9730624080867365,6.144923705673916,8.470000000000002,5.339329135302875,0.0,2.108411753590325,0,0,5.27386320095196,1.7397,14,0,23,173.54554000000007,301.95521599999995,203.05558,136.01000000000002,30.871890141584,21.850361282188,3847.310192574486,6440.167479958542,4618.210325698788,166.63357774813247,24.98298676748584,11.028355387523632,1081.795271519754,-149.59500042938836,0.1023289224952711,0.0865028355387496,-1.0663262558759932,26.67799993511189,1.1599130406570388,0.9878640053310443,2.560911244944966,2.315308616645885,2.8766225950797444,5.10958825940595,45.618073731955846,5.111624577662564,5.097796815001347,5.061372974125046,46.65669050038687,37.46522542049246,5.214001149454051,22.8761835396941,21.77647058823529,22.119999999999997,13.550360479041917,26.32579966785965,3.533291761148904,0.0,0.0,3.258889276661291,20.869714238882647,-1.9254779017861117,116.93,0.3955990550637434,13.097127056729322,0.3955990550637434,22.629102,16.648898,26.3,0.006778244,3.65051,1.538,0.205235,38.529
methyl heptanoate,CCCCCCC(=O)OC,-0.0869416099773239,0.4361738106721368,9.4,2.9617756061821483,6.852030486860464,9.47,5.603868808567606,0.0,2.15093466553288,0,0,6.2388963754427404,2.1298000000000004,16,0,26,194.52298400000004,344.6847239999999,265.94048,151.94,39.89341900097999,30.871890141584,4343.939852712983,7364.369678924391,6097.165480737383,166.08679533916288,24.99408284023669,10.11834319526628,1232.2230783781738,-150.6400329904949,0.1091751479289931,0.0960946745562135,-1.06185284822684,30.33541873168613,1.1667468742956202,0.9878634666028848,2.558045061346572,2.3123342039440007,2.8861627976234385,5.860816375570937,58.22948472028387,5.862707640063416,5.849864899910125,5.816035871981069,59.30093300038146,47.74094330165489,5.957794769778675,25.764020393299347,24.501960784313727,24.88,15.34891497005988,29.741089313783824,3.583627173091459,0.0,0.0,3.461538461538461,24.098937288896465,-2.3439242259185447,131.02000000000004,0.356407434339237,15.092134762918002,0.356407434339237,25.632688,18.655312,26.3,0.007604786,4.00205,1.8973,0.233865,43.334
dimethyl sebacate,COC(=O)CCCCCCCCC(=O)OC,-0.1336192134618361,0.4507433213223934,9.875,3.0976081049326942,10.289847411347834,14.94,9.493303870451143,0.0,0.0,0,0,9.764741398929049,2.4532000000000007,22,0,38,291.6992639999999,520.8938559999999,534.3234000000001,230.48,76.791746143168,67.770217283772,6331.525760823478,10852.093761494183,12014.494160983577,174.5160080613118,42.37396121883656,9.41274238227147,1800.8034847272634,-195.79520838242743,0.1820567867035986,0.1321606648199447,-1.6187072486945338,45.00342271005383,1.1843005976329954,0.9966233683374024,2.5528755208951748,2.30711597116325,3.0407564336667656,9.501539684956484,151.19866801635106,9.504274988569833,9.485697219553003,9.436721284499711,153.65922436884392,125.08412522576847,9.641574626213622,38.08885651857249,36.37647058823528,36.960000000000015,22.70505748502995,43.40573039794677,2.823701709645974,0.0,0.0,3.9243959373335366,40.38291046480568,-3.278805608064132,194.82,0.4459555951346931,23.34612264855667,0.4459555951346931,37.917446,27.278554,52.60000000000001,0.004127259,2.10505,2.8989,0.335196,66.969
"2,6-dimethylpiperazine",CC1CNCC(C)N1,0.6516203703703702,0.4613961881590996,39.75,2.2306376583301173,5.568914100752346,6.046262626262625,1.4562252861602496,6.738425925925927,6.625,2,2,1.8626153767119684,-0.0438,14,0,22,159.70486400000004,314.3245840000001,141.087744,124.10980000000002,25.375128342433,9.336871001829,3772.0933904994863,6910.521239203991,3883.270692509229,157.4046444987441,10.727272727272725,-11.198347107438014,1000.975562782536,-49.78706597380872,0.0062363636363573,-0.0248727272727287,-0.4300516309090863,27.833935259813067,1.2651788754460485,0.9930482177139204,2.573905893798924,2.3318783404571617,2.2306376583301173,3.62635869248469,28.90922009559856,3.631185386088831,3.59226932722296,3.5467564772726643,27.56071807327335,19.38089897857428,3.4732459573413745,21.541150764748725,20.462745098039218,20.776,12.907246706586823,25.488504036304537,4.394166666666667,0.1,0.2727272727272727,3.218761086960609,22.07747460537288,-1.3487081517308868,104.50000000000004,0.4919135667544224,11.597649680139051,0.0,21.555102,15.184898,24.06,0.00403679,2.96264,0.7911,0.204034,33.132
diethyl decanedioate,CCOC(=O)CCCCCCCCC(=O)OCC,-0.0973971556051627,0.4215226752792795,10.11111111111111,3.162653055346669,11.70406097372093,16.940000000000005,11.426139207725337,0.0,4.571707854904867,0,0,11.66819291617474,3.2334000000000023,26,0,44,333.65415199999995,606.632536,660.0932000000001,262.34,92.708056919772,85.813275002564,7324.785081100475,12689.472646109383,14972.404471060763,172.7949338080052,51.13016528925621,26.223140495867767,2103.500439144643,-198.6942256658959,0.2082650826446266,0.165268595041323,-1.6172928222385945,52.30225825632114,1.1886876876436625,0.9872344053979852,2.5528674930073163,2.3071096263543787,3.114809864961419,10.579877479157664,189.6187949691004,10.583462890919192,10.559108075669958,10.494865546214273,193.1224984055932,156.0994523838674,10.763227034558303,43.86453022578297,41.82745098039215,42.48,26.302166467065877,50.23630968979512,3.6417615476508662,0.0,0.0,4.170781854101701,41.98802075425656,-4.084573143038749,223.00000000000009,0.4064628141345812,27.158405494098822,0.4064628141345812,43.924618,31.291382,52.60000000000001,0.001815034,0.95498,0.4985,0.392786,76.443
"1,4-butanediamine",NCCCCN,0.775,0.4645989628584019,9.0,2.3390923149762908,3.983127663125441,5.92,3.92,0.0,1.55,4,2,4.854400000000001,-0.3159999999999998,12,0,18,131.186904,219.930768,86.863104,101.9298,13.933421298187998,6.490792438791999,3148.669374270988,4930.936561817094,2269.905737819192,141.8722714784361,-4.604938271604937,-10.074074074074076,745.320665287261,-22.8136401952959,-0.3673790123456799,-0.3910777777777788,0.082011268956001,20.509157615840437,1.1393976453244683,1.8358950916086432,2.5791137942555,2.3341023889478465,2.3390923149762908,3.86281745437643,23.008786185383386,3.865967251588805,3.8405682070608154,3.810854244857724,22.276706340758487,18.42424397083559,3.762839853561448,17.65331391114348,16.737254901960785,17.016000000000002,10.108692215568862,21.07321439038036,0.0,0.2133333333333333,0.0,2.945530556036326,19.47268334583337,-0.6795591593542668,87.18000000000002,0.5647208691207961,7.450825214724777,0.0,16.881515999999998,10.898484,52.04,0.017021686,9.31154,0.1294,0.168636,27.884
docosanoic acid,CCCCCCCCCCCCCCCCCCCCCC(=O)O,-0.6509502356326318,0.2286677165264811,11.041666666666666,2.9653789386426435,16.497597509694774,23.47,21.47,8.557019858797606,2.2828908815245663,1,1,20.061475157617565,7.892900000000008,44,0,68,488.20719999999983,936.635564,1146.32908,374.96,166.19482303252403,157.17329417312806,11296.755094651957,20143.42506887383,26802.53765127773,163.49761981433676,17.32179930795848,-7.598615916955014,3335.0358350382453,-67.57086941548447,-0.1733559688581167,-0.162422145328704,-0.1699947541547683,81.42059787353143,1.197361733434286,0.9879320021892136,2.54861986814952,2.30263915610995,2.9546923907218963,16.292122497060976,390.56574785299927,16.2925550688917,16.28961681652486,16.281867458346607,391.2245971489999,312.0680028465361,16.314250409296253,66.19373634377277,62.65882352941176,63.52000000000001,40.528677844311375,77.55514435672231,2.2828908815245663,0.0185555555555555,0.0,5.004742453383258,79.70661737501307,-7.703212926046223,328.2800000000001,0.1409203329849602,43.27946513218832,0.1409203329849602,67.682892,45.009108,37.3,0.000552242,0.30227,1.7684,0.636247,109.843
2-methoxypropene,C=C(C)OC,0.7546296296296298,0.422298955221396,6.8,2.847378923087672,3.6153550716504106,4.54,3.5400000000000005,0.0,5.256944444444445,0,0,1.6548171751412428,1.1664,8,0,13,97.261492,146.17971200000002,0.0,75.97000000000001,6.669193572734999,0.0,2171.969926356492,3175.864501832693,0.0,166.08679533916296,14.994082840236691,-19.65680473372781,616.1115391890871,-150.64003299049492,0.1091751479289945,0.0960946745562132,-1.0618528482268406,15.16770936584306,1.16674687429562,0.9954330293161756,2.5048516224526725,2.259200234950172,2.5395388613593903,2.243050514366375,11.07868195758412,2.245555767543096,2.2285415966904507,2.18370191059989,11.752936054395484,9.13921759494016,2.3713633131844927,12.88201019664967,12.250980392156864,12.440000000000005,7.674457485029938,14.870544656891912,3.405092592592593,0.0,0.0,2.4615384615384617,13.028693052322849,-0.701722352109148,68.79000000000002,0.3586759592441442,6.903422135861453,0.3586759592441442,12.816344,9.761656,9.23,0.011336843,8.17002,1.8249,0.113432,21.496
"dioctyl 1,2-benzenedicarboxylate",CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-0.4438205472120857,0.2320894854450205,10.642857142857142,2.349722997694081,17.841889175225624,24.198226299694188,10.482776036995192,0.0,5.174480971151621,0,0,13.95299134462422,6.721200000000008,38,0,66,489.6808799999999,909.896784,1040.531888,382.9200000000001,157.76079723420503,157.50711062596002,10811.740466291463,18879.20538457598,22568.90401321776,185.01743997298016,74.6969696969697,102.62442607897157,3353.140262976803,-105.58310386453071,0.2626848484848596,0.2242424242424307,-1.0940447178181916,83.62947533184439,1.267113262603703,0.987143610207569,2.4330532807636325,2.1872237398008245,2.210204738064694,13.13447308118339,366.990274472556,13.13975911282441,13.103848971981266,13.0090869489739,374.6849183899074,278.40028898232583,13.404571007970343,65.19155134741442,62.18039215686275,63.040000000000006,41.09349341317365,74.72804756534018,4.384599546359482,0.0,0.0909090909090909,4.810005235275212,68.04904055244099,-7.541263546369009,340.14000000000004,0.270102959854478,47.68463151118171,0.270102959854478,68.626134,43.329866,52.60000000000001,0.000241994,0.16101,3.6096,0.587759,115.051
2-phenoxyethanol,OCCOc1ccccc1,0.0643792517006802,0.6762728590662826,9.3,2.4265223465879537,5.6564267942850455,7.091358574610246,2.0703945242384734,8.402570861678004,0.4294718442932728,1,1,2.7681020697322096,1.0577,10,0,20,154.21220000000005,251.005228,178.59228399999998,122.9,28.723901445094,22.343006620792004,3234.43394056749,4908.344432816599,3967.5388073481927,206.5877106116327,6.299999999999997,-21.219999999999995,1011.5158535508796,-6.889734912408793,-0.158420000000003,-0.2000000000000015,-0.1506847999999966,26.315223238244972,1.315761161912249,1.89688640151482,2.445566001990253,2.199673023018982,2.0172372216570547,4.113120260189375,40.76806292556607,4.116565460591636,4.093161889840308,4.031415468622763,42.61519509723036,33.530053164901084,4.289220979463563,20.10050983248361,19.325490196078437,19.6,12.953251497005986,22.495220376011297,0.0,0.0503030303030304,0.3,2.9609640474436816,28.31407349889519,-1.5860940916778905,111.56000000000004,0.3702316126099036,16.002229440864433,0.3702316126099036,21.63193,11.76807,29.46,0.007151726,4.00896,2.2192,0.166587,34.838
ethyl hexanoate,CCCCCC(=O)OCC,-0.059305555555555,0.4361738106721367,9.4,3.052375189045708,6.852030486860464,9.47,5.603868808567606,0.0,4.452215372260016,0,0,6.2388963754427404,2.1298000000000004,16,0,26,194.52298400000004,344.82455600000003,265.9404799999999,151.94,38.830045529886,30.871890141584,4343.939852712983,7358.856922266139,6097.165480737383,166.08679533916288,28.99408284023669,18.272189349112427,1232.2230783781738,-150.6400329904949,0.1091751479289931,0.096094674556212,-1.06185284822684,30.33541873168613,1.1667468742956202,0.9871880494027364,2.56089408807165,2.3152950175912035,2.968015041036938,5.656223156053317,56.19016728556032,5.65877589659106,5.641437486459696,5.595722365550927,57.59171292631339,45.45329350355408,5.786872762371866,25.764020393299347,24.501960784313727,24.88,15.348914970059882,29.741089313783824,3.9472963907785337,0.0,0.0,3.461538461538461,22.92976312449921,-2.3439242259185447,131.02000000000004,0.3650873698709265,15.002424546729598,0.3650873698709265,25.632688,18.655312,26.3,0.006143498,3.38149,1.9894,0.233879,43.32
octanenitrile,CCCCCCCC#N,0.7397959183673469,0.5181479505798525,8.88888888888889,2.68805533088827,6.189854282619244,8.49,7.49,8.17278195074326,2.1987033100277147,0,0,7.065566666666667,2.870480000000001,15,0,24,171.302724,306.6560599999999,212.7618999999999,132.0249,36.376841537282,27.355312677886,3999.359691893735,6722.992119236542,5085.724452403985,170.73773140334478,9.74305555555555,-8.534722222222223,1196.6981513388516,-91.87597345651623,-0.0393361111111104,-0.0268140625000001,-0.4234812565816434,31.45431101910893,1.310596292462872,0.9879412381147072,2.532685587104877,2.2965101549812887,2.595082706793886,5.837302823385631,52.429876352987264,5.837663310230492,5.83475632108218,5.8313550873454005,52.25752881505356,42.50306797313398,5.825858104119575,23.32192279679534,22.133333333333333,22.428000000000004,14.647841317365272,27.40541060184897,2.1987033100277147,0.0,0.0,3.441806622255324,25.27689175181006,-2.7389760035187445,124.96000000000004,0.1894987510509475,15.124278778375585,0.0,24.461895,15.618105,23.79,0.007054843,3.74482,3.8926,0.218354,38.822
