Name,smiles,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_HeavyAtomMolWt,RDKit2D_HallKierAlpha,RDKit2D_LabuteASA,RDKit2D_TPSA,RDKit2D_VSA_EState1,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,RDKit2D_MolMR,Mordred2D_SpMAD_A,Mordred2D_ATS1dv,Mordred2D_ATS3dv,Mordred2D_ATS4dv,Mordred2D_ATS5dv,Mordred2D_ATS0Z,Mordred2D_ATS1Z,Mordred2D_ATS0m,Mordred2D_ATS1m,Mordred2D_ATS2m,Mordred2D_ATS3m,Mordred2D_ATS0p,Mordred2D_ATS2p,Mordred2D_AATS0dv,Mordred2D_AATS0m,Mordred2D_AATS0se,Mordred2D_AATS0are,Mordred2D_AATS0i,Mordred2D_ATSC0dv,Mordred2D_ATSC1dv,Mordred2D_ATSC0m,Mordred2D_ATSC1v,Mordred2D_ATSC0se,Mordred2D_ATSC0pe,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC1i,Mordred2D_AATSC0dv,Mordred2D_AATSC0m,Mordred2D_AATSC0are,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTm-1h,Mordred2D_BCUTare-1h,Mordred2D_BCUTp-1l,Mordred2D_SpAbs_Dzp,Mordred2D_VR2_Dzp,Mordred2D_Xp-5d,Mordred2D_Xp-6d,Mordred2D_Xp-7d,Mordred2D_SZ,Mordred2D_Mare,Mordred2D_Mi,Mordred2D_SpMAD_Dt,Mordred2D_SsCH3,Mordred2D_ETA_alpha,Mordred2D_ETA_beta,Mordred2D_ETA_epsilon_1,Mordred2D_ETA_epsilon_5,Mordred2D_ETA_dEpsilon_D,Mordred2D_fragCpx,Mordred2D_IC0,Mordred2D_TIC0,Mordred2D_MIC5,Mordred2D_ZMIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID,Mordred2D_MID_h,Mordred2D_MPC6,Mordred2D_piPC1,Mordred2D_piPC5,Mordred2D_piPC6,Mordred2D_TpiPC10,Mordred2D_TopoPSA,ChemInfo_PMI3,ChemInfo_RC2,ChemInfo_RC3,ChemInfo_DIP,ChemInfo_ISO,ChemInfo_HOMO,ChemInfo_GTOT,ChemInfo_HARD,ChemInfo_SOFT
2-ethylpyridine,CCc1ccccn1,1.0286111111111111,0.5313362980164081,98.084,-0.8500000000000001,49.3809353292367,12.89,0.0,0.0,2.099537037037037,0,0,1.6237851268217838,1.644,33.614999999999995,1.3030365535762272,84.0,56.0,12.0,3.0,310.0,354.0,1215.189472,1311.0246719999998,1557.9815010000002,1268.7026149999997,24.733816143641,40.345944259396,4.823529411764706,71.48173364705883,7.261848470588236,5.690288235294118,162.53290727401418,48.11764705882353,19.05882352941176,539.7536875294116,-41.02558970784264,0.3623924705882351,0.9263882352941166,0.0766705882352926,0.0714176470588229,-0.3218442300000007,-4.682898789447025,2.830449826989619,31.750216913494803,0.0510602076124567,1.4786122859762203,0.9880085292397176,14.029496152211696,3.145871532309957,1.025070562619362,28.127605113787823,3.0371511677973357,1.1051717155225391,0.3484617125293379,0.1443375672974064,9.666666666666666,0.9498823529411764,1.127031862592732,7.8278337948912355,2.099537037037037,3.9,10.5,0.5117647058823529,0.75,0.0,8.01,1.2532975784630431,21.30605883387173,25.363955389108263,28.193207832698043,19.963772975671542,-2.143449294370529,95.71000000000002,1.9615831826636256,1.993031983893153,4,2.4849066497880004,4.150055169236106,3.2700441114426,5.3462142747402535,12.89,406.850817,1.51578,1.24311,1.7643,74.2,-0.24802,-326.806066,0.22818,4.38250504
phenylacetic acid,O=C(O)Cc1ccccc1,-0.7859259259259257,0.6651802326447549,128.08599999999998,-1.31,59.11704320052995,37.3,0.0,8.366910430839003,0.0,1,1,2.049538439809832,1.3137,37.78180000000001,1.2066822110680893,120.0,110.0,96.0,78.0,424.0,434.0,1674.1774819999996,1639.317554,2121.2954520000003,1684.6965369999998,27.154511238792,45.569761554849,7.888888888888889,93.0098601111111,7.820848444444446,6.29,159.14436869549957,70.0,6.0,644.3540097777777,45.097043897804326,1.819708444444444,2.5063999999999984,-0.2610666666666679,-0.2777777777777784,0.4000549311111126,2.4449775809721954,3.888888888888889,35.79744498765432,0.1506172839506172,1.3544207531232084,1.9899325614153776,16.013899232168946,3.5546923594648896,0.7416244027662717,50.1872872133917,3.465514630798291,1.4545677683854246,0.5955220308284976,0.3190355937288492,12.0,0.991111111111111,1.1155517072270622,8.576697980452508,0.0,4.666666666666667,13.0,0.6074074074074074,0.8030303030303029,0.0503030303030304,10.02,1.3921472236645345,25.05865002596162,31.428849385909487,34.753555594017215,26.779251872409247,-1.387599470991049,107.26000000000003,1.9535122962644145,3.39483528428885,8,2.70805020110221,4.342993403944672,3.840795496139778,5.833347679010845,37.3,702.7707949,0.82598,0.71957,1.4279,81.95,-0.24441,-460.021545,0.2328,4.295532646
ethyl heptanoate,CCCCCCC(=O)OCC,-0.0522193877551016,0.4383150695699537,140.09699999999998,-0.53,68.93385527255305,26.3,4.783142715419501,0.0,4.500911123708743,0,0,7.210590601900741,2.5199000000000007,45.39200000000002,1.1736338304047764,88.0,62.0,50.0,40.0,470.0,504.0,1828.602243,1804.268398000001,2081.4899099999984,1837.664277,34.38954028728201,58.97875551018798,3.931034482758621,63.05524975862068,7.431049241379314,5.788620689655173,166.91619009832695,82.9655172413793,28.9988109393579,965.1465850344824,-151.4712980388324,2.044300965517241,3.084703448275861,0.1144242568370951,0.1034958382877512,-1.0583106537872442,-6.40964832334496,2.8608799048751483,33.28091672532698,0.1110820451843043,1.1720754177097514,0.9871880471937738,16.013982276750763,3.5549103811513825,0.7415453304170521,96.35819377176496,3.306232462497268,0.7716380477393471,0.4505237851453036,0.297430676221355,14.666666666666664,0.953103448275862,1.143323412403724,6.955026231773425,3.994352481733434,5.166666666666667,7.25,0.5045977011494253,0.8393939393939394,0.0,10.02,1.2170163386123156,35.29347381975715,25.760341980883467,40.23381885272906,26.036524662195525,-2.7594167316037828,145.11000000000004,1.8774941458008056,3.6545565465279455,5,2.4849066497880004,2.079441541679836,1.9459101490553128,4.343805421853684,26.3,1641.185351,0.32608,0.30815,1.9973,102.13,-0.26102,-504.054101,0.27788,3.598675687
"1,4-dimethylpiperazine",CN1CCN(C)CC1,1.2326388888888888,0.432415828725247,100.07999999999998,-0.08,51.0777977866901,6.48,0.0,0.0,4.930555555555555,0,0,1.8626153767119684,-0.1364,34.99399999999999,1.240597152046008,58.0,41.0,10.0,1.0,328.0,408.0,1272.2017199999996,1467.4559360000003,1843.221162,1521.8601989999993,25.377980667885996,47.704495728490016,3.090909090909091,57.82735090909089,7.259312000000002,5.641354545454546,171.45879047724938,49.8181818181818,12.545454545454543,679.4829534545456,-199.2592242685689,0.661268363636363,1.4967272727272714,0.3492363636363571,0.3171272727272708,-1.573707610909086,-23.38183793229092,2.2644628099173545,30.88558879338844,0.0674628099173553,1.2651788754460485,0.9960157990048658,14.024816144521528,3.1295475218774524,1.042841326117666,45.027368758567896,3.046767475671687,1.3047378541243648,0.3333333333333333,0.0,10.666666666666664,0.9443636363636362,1.15856836528657,7.675381755303303,4.347222222222222,3.8,5.5,0.4818181818181818,0.8,0.0,8.02,1.2406705316766884,27.294751696887143,14.603707372321304,28.616202150970487,24.71831418581545,-0.3791481517308864,104.50000000000004,1.9416036510868864,4.167048924728785,4,2.19722457733622,2.5649493574615367,1.6094379124341005,4.143134726391533,6.48,394.9149738,1.48761,1.28056,1.0512,75.57,-0.19846,-346.364308,0.27527,3.63279689
methyl hexanoate,CCCCCC(=O)OC,-0.0940277777777773,0.4277197407264158,116.07499999999996,-0.53,56.20397104375984,26.3,4.457834467120182,0.0,2.108411753590325,0,0,5.27386320095196,1.7397,36.158,1.1635706616666204,76.0,46.0,36.0,30.0,394.0,408.0,1536.0097449999992,1467.3118040000004,1650.1928719999994,1454.273155,27.03328866788599,44.47415889648999,4.608695652173913,66.78303239130432,7.545458260869569,5.913478260869566,167.2743561988907,76.60869565217388,24.98298676748584,799.1117028695653,-149.59500042938836,1.975925913043478,2.875965217391302,0.1023289224952711,0.0865028355387496,-1.0663262558759932,-6.490143963855435,3.3308128544423425,34.74398708128545,0.1325897920604914,1.1599130406570388,0.9878640053310443,16.01413439369721,3.555380706754827,0.7410325150974356,64.72824044694956,2.9749934204217827,0.5350747745081851,0.3484617125293379,0.1020620726159657,11.999999999999996,0.9617391304347824,1.1445999855591151,5.647091153231126,3.533291761148904,4.166666666666667,6.25,0.5231884057971015,0.8703703703703703,0.0,8.02,1.264672679395722,29.08747162610161,24.837352485601414,32.94327953276238,20.869714238882647,-1.9254779017861117,116.93,1.8508353947003344,3.56039149557369,3,2.302585092994046,1.791759469228055,1.6094379124341005,3.9889840465642745,26.3,880.6742431,0.6116,0.57425,1.538,79.87,-0.26889,-425.477356,0.28397,3.52149875
methyl heptanoate,CCCCCCC(=O)OC,-0.0869416099773239,0.4361738106721368,128.08599999999998,-0.53,62.56891315815645,26.3,4.491476048752834,0.0,2.15093466553288,0,0,6.2388963754427404,2.1298000000000004,40.775000000000006,1.1937511186490084,80.0,50.0,40.0,36.0,432.0,456.0,1682.3059939999998,1635.790101000001,1843.901408999999,1651.0298840000005,30.711414477584,52.16184904133899,4.230769230769231,64.70407669230768,7.481653230769232,5.843846153846154,167.07460971973012,79.84615384615387,24.99408284023669,882.3953095384614,-150.6400329904949,2.0122338461538454,2.982953846153845,0.1091751479289931,0.0960946745562135,-1.06185284822684,-6.44520119482697,3.071005917159764,33.93828113609467,0.1207100591715975,1.1667468742956202,0.9878634666028848,16.01413495225156,3.5553838581127013,0.7410315511654602,77.98742723605565,3.158259928319442,0.6695759751233813,0.3783550014966005,0.2463996399133722,13.333333333333332,0.9569230769230768,1.1438880505301472,6.359085980424917,3.583627173091459,4.666666666666667,6.75,0.5128205128205128,0.8533333333333333,0.0,9.02,1.2389012566026305,32.21143267166839,25.31551385798607,36.56521117656976,24.098937288896465,-2.3439242259185447,131.02000000000004,1.8656209106310373,3.5640743433923703,4,2.3978952727983707,1.9459101490553128,1.791759469228055,4.174387269895637,26.3,1468.028469,0.35854,0.34449,1.8973,91.73,-0.26337,-464.764265,0.27846,3.591180062
dimethyl sebacate,COC(=O)CCCCCCCCC(=O)OC,-0.1336192134618361,0.4507433213223934,208.128,-1.06,97.30374894529356,52.60000000000001,9.08740321203691,0.0,0.0,0,0,9.764741398929049,2.4532000000000007,60.968000000000046,1.2144423127323305,152.0,100.0,84.0,80.0,710.0,744.0,2777.394864,2717.7169589999985,3221.646832,3020.467743,45.821099906678015,79.599374503886,5.526315789473684,73.08933852631579,7.676296421052629,6.065263157894737,166.6190989690389,144.21052631578948,42.37396121883656,1381.6071688421052,-195.79520838242743,3.818041263157895,5.41235789473684,0.1820567867035986,0.1321606648199447,-1.6187072486945338,-10.11941500391656,3.7950138504155126,36.35808339058172,0.1526869806094183,1.1843005976329954,0.9966233683374024,16.016273898064185,3.55809776639901,0.7399383489718798,195.8696268755615,4.123914699204396,1.3605985596534889,0.873700120355313,0.5552992798267444,21.000000000000004,0.9726315789473688,1.1422560631038623,10.215460995958562,2.823701709645974,7.333333333333333,12.0,0.5491228070175439,0.8916666666666666,0.0,15.04,1.3235315761100483,50.29419989218184,25.068443285572364,58.793908047347415,40.38291046480568,-3.278805608064132,194.82,1.9050882606694848,7.135289522155089,10,2.8903717578961645,2.6390573296152584,2.5649493574615367,5.010635294096256,52.60000000000001,5256.660429,0.09703,0.0962,2.8989,139.45,-0.26502,-771.170783,0.27851,3.590535349
"2,6-dimethylpiperazine",CC1CNCC(C)N1,0.6516203703703702,0.4613961881590996,100.08,-0.08,50.65785481349944,24.06,0.0,6.738425925925927,6.625,2,2,1.8626153767119684,-0.0438,34.92939999999999,1.1788934525361665,58.0,42.0,5.0,0.0,328.0,398.0,1272.2017199999996,1423.5319600000005,1897.255378,1561.770319,25.377980667885996,50.179134618792,2.727272727272727,57.82735090909089,7.259312000000002,5.641354545454546,171.45879047724938,41.8181818181818,10.727272727272725,679.4829534545456,-49.78706597380872,0.661268363636363,1.4967272727272714,0.0062363636363573,-0.0248727272727287,-0.4300516309090863,-8.072612825490927,1.900826446280991,30.88558879338844,0.0674628099173553,1.2651788754460485,0.9930482177139204,14.01873758933959,3.11203405686908,1.0598015509989671,40.12022507337005,2.971234825097038,0.971404520791032,0.4511844635310912,0.0,10.666666666666664,0.9443636363636362,1.15856836528657,7.729334295943005,4.394166666666667,3.8,5.0,0.4818181818181818,0.7,0.1,8.02,1.2406705316766884,27.294751696887143,18.70234373595767,28.616202150970487,22.07747460537288,-1.3487081517308868,104.50000000000004,1.941619776771804,3.93530853403538,5,2.19722457733622,2.3978952727983707,1.791759469228055,4.143134726391533,24.06,426.3987918,1.72158,1.18601,0.7911,75.47,-0.20117,-346.378622,0.27907,3.583330347
diethyl decanedioate,CCOC(=O)CCCCCCCCC(=O)OCC,-0.0973971556051627,0.4215226752792795,232.14999999999995,-1.06,110.03363317408676,52.60000000000001,9.691959827582538,0.0,4.571707854904867,0,0,11.66819291617474,3.2334000000000023,70.20200000000006,1.1873494588612312,168.0,124.0,104.0,88.0,786.0,840.0,3069.987362,3054.673552999998,3696.823833999998,3393.736529,53.17735152607401,93.233187441584,4.954545454545454,69.77244004545454,7.583048909090908,5.962272727272727,166.47238820682898,151.72727272727275,51.13016528925621,1552.9679037272729,-198.6942256658959,3.911326909090908,5.655863636363633,0.2082650826446266,0.165268595041323,-1.6172928222385945,-10.072923605053411,3.448347107438017,35.29472508471075,0.1366322314049586,1.1886876876436625,0.9872344053979852,16.016106051142412,3.557616229622976,0.7404410120192284,252.4470452720616,4.38206682657155,1.5647227048854204,1.0180376876527195,0.6573613524427102,23.666666666666664,0.9654545454545456,1.141734311131707,11.396368733555096,3.6417615476508662,8.333333333333334,13.0,0.5333333333333333,0.8703703703703703,0.0,17.04,1.288649764535596,56.70058963956623,25.50872683917121,65.88018107042564,41.98802075425656,-4.084573143038749,223.00000000000009,1.9152631193622935,7.316330654422463,12,2.995732273553991,2.772588722239781,2.70805020110221,5.170483995038151,52.60000000000001,4996.492515,0.1053,0.10121,0.4985,158.43,-0.26258,-849.753897,0.27658,3.615590426
"1,4-butanediamine",NCCCCN,0.775,0.4645989628584019,76.05799999999999,-0.08,38.51385876504481,52.04,0.0,0.0,1.55,4,2,4.854400000000001,-0.3159999999999998,27.342799999999997,1.164653069144978,24.0,16.0,12.0,9.0,254.0,268.0,981.64135,922.6014449999998,881.2904119999997,702.8228349999999,18.910954858188,32.670075589094,1.8888888888888888,54.53563055555557,7.288161333333333,5.662766666666666,174.92607634838822,23.111111111111114,-4.604938271604937,549.9120324444444,-22.8136401952959,0.6356497777777775,1.3741777777777768,-0.3673790123456799,-0.3910777777777788,0.082011268956001,1.7466245686696071,1.2839506172839508,30.5506684691358,0.0774222222222221,1.1393976453244683,1.8358950916086432,14.014184205118614,3.0927441423911346,1.0781883891636688,28.70132903763929,2.239937612019468,0.25,0.0,0.0,8.333333333333332,0.9453333333333336,1.170734132798909,4.036437167970996,0.0,2.8,3.0,0.4777777777777777,0.62,0.2133333333333333,5.02,1.224394445405986,22.03910001730775,14.8525315876192,21.183627793482955,19.47268334583337,-0.6795591593542668,87.18000000000002,1.8065250715749253,3.3883252147247767,0,1.791759469228055,0.6931471805599453,0.0,3.091042453358316,52.04,402.9139044,1.35773,1.25486,0.1294,57.81,-0.22858,-268.999952,0.30959,3.230078491
